Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,100,80,96,1,64,4,3,3,1350247,1.3502
GPU0,static,1,94371840,5898240,100,80,96,1,64,4,3,3,233848941,233.8489
GPU4,static,1,94371840,5898240,100,80,96,1,64,4,3,3,465217198,465.2172
GPU1,static,1,94371840,5898240,100,80,96,1,64,4,3,3,468287748,468.2877
GPU6,static,1,94371840,5898240,100,80,96,1,64,4,3,3,468299040,468.2990
GPU3,static,1,94371840,5898240,100,80,96,1,64,4,3,3,468649180,468.6492
GPU2,static,1,94371840,5898240,100,80,96,1,64,4,3,3,470757224,470.7572
GPU5,static,1,94371840,5898240,100,80,96,1,64,4,3,3,472319352,472.3194
GPU7,static,1,94371840,5898240,100,80,96,1,64,4,3,3,475668327,475.6683
GPU4,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,230970217,230.9702
GPU6,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,233000909,233.0009
GPU3,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,233309695,233.3097
GPU1,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,233974527,233.9745
GPU0,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,234343760,234.3438
GPU2,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,238050671,238.0507
GPU5,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,238369320,238.3693
GPU7,dynamic,1,94371840,5898240,100,80,96,1,64,4,3,3,240854682,240.8547
GPU4,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,230998421,230.9984
GPU6,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,232563224,232.5632
GPU1,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,233984697,233.9847
GPU3,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,235046385,235.0464
GPU0,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,235264277,235.2643
GPU2,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,236981240,236.9812
GPU5,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,238198255,238.1983
GPU7,guided,1,94371840,5898240,100,80,96,1,64,4,3,3,243287736,243.2877
GPU2,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4252562,4.2526
GPU1,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4261008,4.2610
GPU0,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4269463,4.2695
GPU5,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4275668,4.2757
GPU4,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4282087,4.2821
GPU3,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4332768,4.3328
GPU7,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4557466,4.5575
GPU6,static,2,94371840,5898240,100,80,96,1,64,4,3,3,4636170,4.6362
GPU1,dynamic,2,94371840,5898240,100,80,96,1,64,4,3,3,8428057,8.4281
