Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
GPU5,guided,3,9437184,589824,1000,32,96,1,16,4,3,3,7247672,7.2477
GPU7,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2220829,2.2208
GPU3,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2225713,2.2257
GPU4,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2226377,2.2264
GPU5,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2226793,2.2268
GPU0,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2227029,2.2270
GPU1,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2227978,2.2280
GPU6,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2228334,2.2283
GPU2,static,4,9437184,589824,1000,32,96,1,16,4,3,3,2236018,2.2360
GPU0,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6030158,6.0302
GPU2,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6040734,6.0407
GPU4,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6052237,6.0522
GPU7,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6075228,6.0752
GPU3,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6091799,6.0918
GPU5,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6101891,6.1019
GPU6,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6115848,6.1158
GPU1,dynamic,4,9437184,589824,1000,32,96,1,16,4,3,3,6123994,6.1240
GPU0,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6028940,6.0289
GPU2,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6042410,6.0424
GPU4,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6051759,6.0518
GPU7,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6070349,6.0703
GPU3,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6092933,6.0929
GPU5,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6100156,6.1002
GPU6,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6117017,6.1170
GPU1,guided,4,9437184,589824,1000,32,96,1,16,4,3,3,6121990,6.1220
