Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,48,96,1,1,8,3,3,225312,0.2253
GPU0,static,1,1769472,55296,1000,48,96,1,1,8,3,3,72295742,72.2957
GPU2,static,1,1769472,55296,1000,48,96,1,1,8,3,3,143734977,143.7350
GPU7,static,1,1769472,55296,1000,48,96,1,1,8,3,3,144649484,144.6495
GPU3,static,1,1769472,55296,1000,48,96,1,1,8,3,3,145302996,145.3030
GPU4,static,1,1769472,55296,1000,48,96,1,1,8,3,3,145472973,145.4730
GPU6,static,1,1769472,55296,1000,48,96,1,1,8,3,3,146199126,146.1991
GPU1,static,1,1769472,55296,1000,48,96,1,1,8,3,3,146715771,146.7158
GPU5,static,1,1769472,55296,1000,48,96,1,1,8,3,3,187759124,187.7591
GPU2,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,72043152,72.0432
GPU7,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,73024743,73.0247
GPU0,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,73045663,73.0457
GPU3,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,73484051,73.4841
GPU4,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,73523431,73.5234
GPU6,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,74301082,74.3011
GPU1,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,74475442,74.4754
GPU5,dynamic,1,1769472,55296,1000,48,96,1,1,8,3,3,114164087,114.1641
GPU2,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,70793538,70.7935
GPU0,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,71589091,71.5891
GPU4,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,72371487,72.3715
GPU7,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,72861385,72.8614
GPU3,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,73696194,73.6962
GPU1,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,74556299,74.5563
GPU6,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,74897327,74.8973
GPU5,guided,1,1769472,55296,1000,48,96,1,1,8,3,3,114164561,114.1646
GPU0,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1044914,1.0449
GPU1,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1046311,1.0463
GPU4,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1057153,1.0572
GPU6,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1071693,1.0717
GPU3,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1072909,1.0729
GPU7,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1075564,1.0756
GPU2,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1075791,1.0758
GPU5,static,2,1769472,55296,1000,48,96,1,1,8,3,3,1372934,1.3729
GPU7,dynamic,2,1769472,55296,1000,48,96,1,1,8,3,3,1598052,1.5981
GPU2,dynamic,2,1769472,55296,1000,48,96,1,1,8,3,3,1601192,1.6012
GPU0,dynamic,2,1769472,55296,1000,48,96,1,1,8,3,3,1601361,1.6014
