kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1d,l1i,l2,l3,gpu_name,connector_bandwidth,memory_clock,memory_bandwidth,memory_total,sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,shared_memory_size_per_sm,collapse1,collapse2,collapse3,collapse4,static,dynamic,guided,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_float,mul_int,mul_float,div_int,div_float,bit_rel_logic_int,bit_rel_logic_float,rem_int,assign_int,assign_float,Iter_log,VarDecl_log,refExpr_log,intLiteral_log,floatLiteral_log,mem_to_log,mem_from_log,add_sub_int_log,add_sub_float_log,mul_int_log,mul_float_log,div_int_log,div_float_log,bit_rel_logic_int_log,bit_rel_logic_float_log,rem_int_log,assign_int_log,assign_float_log,runtime
ookami_matrix_vector_collapse1_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,1,0,0,1,20004,477006,83007,0,48,24,36003,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301117,5.678524,4.919115,0,1.681241,1.380211,4.556339,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,129082
ookami_matrix_vector_collapse1_dynamic,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,0,1,0,1,20004,477006,83007,0,48,24,36003,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301117,5.678524,4.919115,0,1.681241,1.380211,4.556339,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128546
ookami_matrix_vector_collapse1_guided,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,1,0,0,0,0,0,1,1,20004,477006,83007,0,48,24,36003,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301117,5.678524,4.919115,0,1.681241,1.380211,4.556339,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128495
ookami_matrix_vector_collapse2_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,1,0,0,1,0,0,1,20003,477004,83005,0,48,24,36002,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301095,5.678522,4.919104,0,1.681241,1.380211,4.556327,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128435
ookami_matrix_vector_collapse2_dynamic,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,1,0,0,0,1,0,1,20003,477004,83005,0,48,24,36002,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301095,5.678522,4.919104,0,1.681241,1.380211,4.556327,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128485
ookami_matrix_vector_collapse2_guided,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,1,0,0,0,0,1,1,20003,477004,83005,0,48,24,36002,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301095,5.678522,4.919104,0,1.681241,1.380211,4.556327,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,129034
ookami_matrix_vector_collapse3_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,0,1,0,1,0,0,1,20002,477002,83003,0,48,24,36001,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301073,5.67852,4.919094,0,1.681241,1.380211,4.556315,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128458
ookami_matrix_vector_collapse3_dynamic,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,0,1,0,0,1,0,1,20002,477002,83003,0,48,24,36001,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301073,5.67852,4.919094,0,1.681241,1.380211,4.556315,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128478
ookami_matrix_vector_collapse3_guided,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,0,1,0,0,0,1,1,20002,477002,83003,0,48,24,36001,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301073,5.67852,4.919094,0,1.681241,1.380211,4.556315,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128481
ookami_matrix_vector_collapse4_static,1,0,0,0,Clang,Ookami,1,32,2,1685,32,32,512,32768,Tesla V100-PCIE-32GB,32,877,900,32510,1380,5120,7,32,64,2048,32,65536,65536,255,1024,96,0,0,0,1,1,0,0,1,20001,477000,83001,0,48,24,36000,24000,0,24000,0,0,6000,0,6000,0,33000,0,4.301052,5.678518,4.919083,0,1.681241,1.380211,4.556303,4.380211,0,4.380211,0,0,3.778151,0,3.778151,0,4.518514,128462
