kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1i,l1d,l2,l3,gpu_name,connector_bandwidth,memory_clock,memory_bandwidth,memory_total,sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,shared_memory_size_per_sm,collapse1,collapse2,collapse3,collapse4,static,dynamic,guided,Iter,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_float,mul_int,mul_float,div_int,div_float,bit_rel_logic_int,bit_rel_logic_float,rem_int,assign_int,assign_float,Iter_log,VarDecl_log,refExpr_log,intLiteral_log,floatLiteral_log,mem_to_log,mem_from_log,add_sub_int_log,add_sub_float_log,mul_int_log,mul_float_log,div_int_log,div_float_log,bit_rel_logic_int_log,bit_rel_logic_float_log,rem_int_log,assign_int_log,assign_float_log,runtime
exxact_matrix_vector_collapse4_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,1,0,0,1536,38001,925000,157001,0,48,24,68000,48000,0,48000,0,0,12000,0,12000,0,63000,3.186391,4.579795,5.966142,5.195902,0,1.681241,1.380211,4.832509,4.681241,0,4.681241,0,0,4.079181,0,4.079181,0,4.799341,194481
exxact_matrix_vector_collapse4_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,0,1,0,1536,38001,925000,157001,0,48,24,68000,48000,0,48000,0,0,12000,0,12000,0,63000,3.186391,4.579795,5.966142,5.195902,0,1.681241,1.380211,4.832509,4.681241,0,4.681241,0,0,4.079181,0,4.079181,0,4.799341,191902
exxact_matrix_vector_collapse4_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,0,0,1,1536,38001,925000,157001,0,48,24,68000,48000,0,48000,0,0,12000,0,12000,0,63000,3.186391,4.579795,5.966142,5.195902,0,1.681241,1.380211,4.832509,4.681241,0,4.681241,0,0,4.079181,0,4.079181,0,4.799341,192176
exxact_matrix_vector_collapse1_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,1,0,0,1,5838354,142083106,24118307,0,48,24,10446353,7372800,0,7372800,0,0,1843200,0,1843200,0,9676800,0,6.76629,8.152542,7.382347,0,1.681241,1.380211,7.018965,6.867632,0,6.867632,0,0,6.265572,0,6.265572,0,6.985732,28410749
exxact_matrix_vector_collapse1_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,0,1,0,1,5838354,142083106,24118307,0,48,24,10446353,7372800,0,7372800,0,0,1843200,0,1843200,0,9676800,0,6.76629,8.152542,7.382347,0,1.681241,1.380211,7.018965,6.867632,0,6.867632,0,0,6.265572,0,6.265572,0,6.985732,28470620
exxact_matrix_vector_collapse1_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,0,0,1,1,5838354,142083106,24118307,0,48,24,10446353,7372800,0,7372800,0,0,1843200,0,1843200,0,9676800,0,6.76629,8.152542,7.382347,0,1.681241,1.380211,7.018965,6.867632,0,6.867632,0,0,6.265572,0,6.265572,0,6.985732,28407858
exxact_matrix_vector_collapse2_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,1,0,0,1,5838353,142083104,24118305,0,48,24,10446352,7372800,0,7372800,0,0,1843200,0,1843200,0,9676800,0,6.76629,8.152542,7.382347,0,1.681241,1.380211,7.018965,6.867632,0,6.867632,0,0,6.265572,0,6.265572,0,6.985732,28410139
exxact_matrix_vector_collapse2_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,0,1,0,1,5838353,142083104,24118305,0,48,24,10446352,7372800,0,7372800,0,0,1843200,0,1843200,0,9676800,0,6.76629,8.152542,7.382347,0,1.681241,1.380211,7.018965,6.867632,0,6.867632,0,0,6.265572,0,6.265572,0,6.985732,28407931
exxact_matrix_vector_collapse2_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,0,0,1,1,5838353,142083104,24118305,0,48,24,10446352,7372800,0,7372800,0,0,1843200,0,1843200,0,9676800,0,6.76629,8.152542,7.382347,0,1.681241,1.380211,7.018965,6.867632,0,6.867632,0,0,6.265572,0,6.265572,0,6.985732,28408017
exxact_matrix_vector_collapse3_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,1,0,1,0,0,16,364897,8880192,1507393,0,48,24,652896,460800,0,460800,0,0,115200,0,115200,0,604800,1.20412,5.56217,6.948422,6.178226,0,1.681241,1.380211,5.814844,5.663512,0,5.663512,0,0,5.061452,0,5.061452,0,5.781612,1783745
exxact_matrix_vector_collapse3_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,1,0,0,1,0,16,364897,8880192,1507393,0,48,24,652896,460800,0,460800,0,0,115200,0,115200,0,604800,1.20412,5.56217,6.948422,6.178226,0,1.681241,1.380211,5.814844,5.663512,0,5.663512,0,0,5.061452,0,5.061452,0,5.781612,1783234
exxact_matrix_vector_collapse3_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,1,0,0,0,1,16,364897,8880192,1507393,0,48,24,652896,460800,0,460800,0,0,115200,0,115200,0,604800,1.20412,5.56217,6.948422,6.178226,0,1.681241,1.380211,5.814844,5.663512,0,5.663512,0,0,5.061452,0,5.061452,0,5.781612,1783352
exxact_matrix_vector_collapse4_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,1,0,0,1536,3801,92500,15701,0,48,24,6800,4800,0,4800,0,0,1200,0,1200,0,6300,3.186391,3.579898,4.966142,4.195927,0,1.681241,1.380211,3.832509,3.681241,0,3.681241,0,0,3.079181,0,3.079181,0,3.799341,20509
exxact_matrix_vector_collapse4_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,0,1,0,1536,3801,92500,15701,0,48,24,6800,4800,0,4800,0,0,1200,0,1200,0,6300,3.186391,3.579898,4.966142,4.195927,0,1.681241,1.380211,3.832509,3.681241,0,3.681241,0,0,3.079181,0,3.079181,0,3.799341,20060
exxact_matrix_vector_collapse4_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,0,0,1,1536,3801,92500,15701,0,48,24,6800,4800,0,4800,0,0,1200,0,1200,0,6300,3.186391,3.579898,4.966142,4.195927,0,1.681241,1.380211,3.832509,3.681241,0,3.681241,0,0,3.079181,0,3.079181,0,3.799341,20012
exxact_matrix_vector_collapse1_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,1,0,0,1,585234,14211106,2414627,0,48,24,1046033,737280,0,737280,0,0,184320,0,184320,0,967680,0,5.76733,7.152628,6.38285,0,1.681241,1.380211,6.019545,5.867632,0,5.867632,0,0,5.265572,0,5.265572,0,5.985732,2845807
exxact_matrix_vector_collapse1_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,0,1,0,1,585234,14211106,2414627,0,48,24,1046033,737280,0,737280,0,0,184320,0,184320,0,967680,0,5.76733,7.152628,6.38285,0,1.681241,1.380211,6.019545,5.867632,0,5.867632,0,0,5.265572,0,5.265572,0,5.985732,2880510
exxact_matrix_vector_collapse1_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,0,0,1,1,585234,14211106,2414627,0,48,24,1046033,737280,0,737280,0,0,184320,0,184320,0,967680,0,5.76733,7.152628,6.38285,0,1.681241,1.380211,6.019545,5.867632,0,5.867632,0,0,5.265572,0,5.265572,0,5.985732,2843311
exxact_matrix_vector_collapse2_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,1,0,0,1,585233,14211104,2414625,0,48,24,1046032,737280,0,737280,0,0,184320,0,184320,0,967680,0,5.767329,7.152628,6.38285,0,1.681241,1.380211,6.019545,5.867632,0,5.867632,0,0,5.265572,0,5.265572,0,5.985732,2843109
exxact_matrix_vector_collapse2_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,0,1,0,1,585233,14211104,2414625,0,48,24,1046032,737280,0,737280,0,0,184320,0,184320,0,967680,0,5.767329,7.152628,6.38285,0,1.681241,1.380211,6.019545,5.867632,0,5.867632,0,0,5.265572,0,5.265572,0,5.985732,2843152
exxact_matrix_vector_collapse2_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,0,0,1,1,585233,14211104,2414625,0,48,24,1046032,737280,0,737280,0,0,184320,0,184320,0,967680,0,5.767329,7.152628,6.38285,0,1.681241,1.380211,6.019545,5.867632,0,5.867632,0,0,5.265572,0,5.265572,0,5.985732,2843086
exxact_matrix_vector_collapse3_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,1,0,1,0,0,16,36577,888192,150913,0,48,24,65376,46080,0,46080,0,0,11520,0,11520,0,60480,1.20412,4.563208,5.948507,5.178727,0,1.681241,1.380211,4.815418,4.663512,0,4.663512,0,0,4.061452,0,4.061452,0,4.781612,178952
exxact_matrix_vector_collapse3_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,1,0,0,1,0,16,36577,888192,150913,0,48,24,65376,46080,0,46080,0,0,11520,0,11520,0,60480,1.20412,4.563208,5.948507,5.178727,0,1.681241,1.380211,4.815418,4.663512,0,4.663512,0,0,4.061452,0,4.061452,0,4.781612,178932
exxact_matrix_vector_collapse3_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,1,0,0,0,1,16,36577,888192,150913,0,48,24,65376,46080,0,46080,0,0,11520,0,11520,0,60480,1.20412,4.563208,5.948507,5.178727,0,1.681241,1.380211,4.815418,4.663512,0,4.663512,0,0,4.061452,0,4.061452,0,4.781612,178900
exxact_matrix_vector_collapse4_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,1,0,0,1536,381,9250,1571,0,48,24,680,480,0,480,0,0,120,0,120,0,630,3.186391,2.580925,3.966142,3.196176,0,1.681241,1.380211,2.832509,2.681241,0,2.681241,0,0,2.079181,0,2.079181,0,2.799341,2566
exxact_matrix_vector_collapse4_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,0,1,0,1536,381,9250,1571,0,48,24,680,480,0,480,0,0,120,0,120,0,630,3.186391,2.580925,3.966142,3.196176,0,1.681241,1.380211,2.832509,2.681241,0,2.681241,0,0,2.079181,0,2.079181,0,2.799341,2550
exxact_matrix_vector_collapse4_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,0,1,0,0,1,1536,381,9250,1571,0,48,24,680,480,0,480,0,0,120,0,120,0,630,3.186391,2.580925,3.966142,3.196176,0,1.681241,1.380211,2.832509,2.681241,0,2.681241,0,0,2.079181,0,2.079181,0,2.799341,2622
exxact_matrix_vector_collapse1_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,1,0,0,1,113665554,2797059106,468483107,0,48,24,202753553,147456000,0,147456000,0,0,36864000,0,36864000,0,188928000,0,8.055629,9.446702,8.670694,0,1.681241,1.380211,8.306968,8.168662,0,8.168662,0,0,7.566602,0,7.566602,0,8.276296,557602952
exxact_matrix_vector_collapse1_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,0,1,0,1,113665554,2797059106,468483107,0,48,24,202753553,147456000,0,147456000,0,0,36864000,0,36864000,0,188928000,0,8.055629,9.446702,8.670694,0,1.681241,1.380211,8.306968,8.168662,0,8.168662,0,0,7.566602,0,7.566602,0,8.276296,554271376
exxact_matrix_vector_collapse1_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,1,0,0,0,0,0,1,1,113665554,2797059106,468483107,0,48,24,202753553,147456000,0,147456000,0,0,36864000,0,36864000,0,188928000,0,8.055629,9.446702,8.670694,0,1.681241,1.380211,8.306968,8.168662,0,8.168662,0,0,7.566602,0,7.566602,0,8.276296,557569046
exxact_matrix_vector_collapse2_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,1,0,0,1,113665553,2797059104,468483105,0,48,24,202753552,147456000,0,147456000,0,0,36864000,0,36864000,0,188928000,0,8.055629,9.446702,8.670694,0,1.681241,1.380211,8.306968,8.168662,0,8.168662,0,0,7.566602,0,7.566602,0,8.276296,557613879
exxact_matrix_vector_collapse2_dynamic,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,0,1,0,1,113665553,2797059104,468483105,0,48,24,202753552,147456000,0,147456000,0,0,36864000,0,36864000,0,188928000,0,8.055629,9.446702,8.670694,0,1.681241,1.380211,8.306968,8.168662,0,8.168662,0,0,7.566602,0,7.566602,0,8.276296,557568067
exxact_matrix_vector_collapse2_guided,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,1,0,0,0,0,1,1,113665553,2797059104,468483105,0,48,24,202753552,147456000,0,147456000,0,0,36864000,0,36864000,0,188928000,0,8.055629,9.446702,8.670694,0,1.681241,1.380211,8.306968,8.168662,0,8.168662,0,0,7.566602,0,7.566602,0,8.276296,557585980
exxact_matrix_vector_collapse3_static,1,0,0,0,Clang,Exxact,2,10,2,2400,640,640,20480,28160,NVIDIA GeForce RTX 2080,32,7000,448,7982,2100,2944,7.5,32,32,1024,16,65536,65536,255,1024,64,0,0,1,0,1,0,0,16,7104097,174816192,29280193,0,48,24,12672096,9216000,0,9216000,0,0,2304000,0,2304000,0,11808000,1.20412,6.851509,8.242582,7.466574,0,1.681241,1.380211,7.102848,6.964542,0,6.964542,0,0,6.362482,0,6.362482,0,7.072176,35030530
