variant_43,1,1,4,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,13563,0.013563
variant_46,1,1,3,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,23732,0.023732
variant_49,1,1,2,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,317599,0.317599
variant_52,1,1,1,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,1642373,1.642373
variant_55,1,2,3,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,102867,0.102867
variant_58,1,2,2,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,366056,0.366056
variant_61,1,2,1,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,436511,0.436511
variant_64,1,3,2,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,101296,0.101296
variant_67,1,3,1,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,515992,0.515992
variant_70,1,4,1,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,287984,0.287984
variant_73,2,3,2,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,7403,0.007403
variant_76,2,3,1,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,25184,0.025184
variant_79,2,4,1,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,12497,0.012497
variant_82,3,4,1,Static,1207959552,75497472,75497472,1207959552,100,96,64,32,32,4,3,3,10246,0.010246
