Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,96,16,96,48,161194
GPU6,static,1,2703887424,339738624,96,16,96,48,16031947
GPU3,static,1,2703887424,339738624,96,16,96,48,16251331
GPU0,static,1,2703887424,339738624,96,16,96,48,16260279
GPU5,static,1,2703887424,339738624,96,16,96,48,16265872
GPU1,static,1,2703887424,339738624,96,16,96,48,16485150
GPU2,static,1,2703887424,339738624,96,16,96,48,16491268
GPU4,static,1,2703887424,339738624,96,16,96,48,16710396
GPU7,static,1,2703887424,339738624,96,16,96,48,16716485
GPU6,static,2,2703887424,339738624,96,16,96,48,1242131
GPU3,static,2,2703887424,339738624,96,16,96,48,1666687
GPU1,static,2,2703887424,339738624,96,16,96,48,1885758
GPU0,static,2,2703887424,339738624,96,16,96,48,1894940
GPU2,static,2,2703887424,339738624,96,16,96,48,2115255
GPU7,static,2,2703887424,339738624,96,16,96,48,2123340
GPU5,static,2,2703887424,339738624,96,16,96,48,2130030
GPU4,static,2,2703887424,339738624,96,16,96,48,2136458
GPU6,static,3,2703887424,339738624,96,16,96,48,1134381
GPU4,static,3,2703887424,339738624,96,16,96,48,1354444
GPU2,static,3,2703887424,339738624,96,16,96,48,1573205
GPU3,static,3,2703887424,339738624,96,16,96,48,1765504
GPU7,static,3,2703887424,339738624,96,16,96,48,1984668
GPU5,static,3,2703887424,339738624,96,16,96,48,1993988
GPU1,static,3,2703887424,339738624,96,16,96,48,2000559
GPU0,static,3,2703887424,339738624,96,16,96,48,2007009
GPU0,static,4,2703887424,339738624,96,16,96,48,1310255
GPU4,static,4,2703887424,339738624,96,16,96,48,1529415
GPU3,static,4,2703887424,339738624,96,16,96,48,1539103
GPU2,static,4,2703887424,339738624,96,16,96,48,1544898
GPU7,static,4,2703887424,339738624,96,16,96,48,1738054
GPU6,static,4,2703887424,339738624,96,16,96,48,1747071
GPU5,static,4,2703887424,339738624,96,16,96,48,1753822
GPU1,static,4,2703887424,339738624,96,16,96,48,1759358
GPU6,dynamic,1,2703887424,339738624,96,16,96,48,491910022
GPU0,dynamic,1,2703887424,339738624,96,16,96,48,498681138
GPU3,dynamic,1,2703887424,339738624,96,16,96,48,498899605
GPU5,dynamic,1,2703887424,339738624,96,16,96,48,500894756
GPU1,dynamic,1,2703887424,339738624,96,16,96,48,502171172
GPU2,dynamic,1,2703887424,339738624,96,16,96,48,505426024
GPU7,dynamic,1,2703887424,339738624,96,16,96,48,506319767
GPU4,dynamic,1,2703887424,339738624,96,16,96,48,511313066
GPU6,dynamic,2,2703887424,339738624,96,16,96,48,13564363
GPU3,dynamic,2,2703887424,339738624,96,16,96,48,13941863
GPU5,dynamic,2,2703887424,339738624,96,16,96,48,14133887
GPU0,dynamic,2,2703887424,339738624,96,16,96,48,14325855
GPU1,dynamic,2,2703887424,339738624,96,16,96,48,14336201
GPU7,dynamic,2,2703887424,339738624,96,16,96,48,14342861
GPU2,dynamic,2,2703887424,339738624,96,16,96,48,14349026
GPU4,dynamic,2,2703887424,339738624,96,16,96,48,14540858
GPU6,dynamic,3,2703887424,339738624,96,16,96,48,9541286
GPU4,dynamic,3,2703887424,339738624,96,16,96,48,9762790
GPU7,dynamic,3,2703887424,339738624,96,16,96,48,9982010
GPU5,dynamic,3,2703887424,339738624,96,16,96,48,10201517
GPU1,dynamic,3,2703887424,339738624,96,16,96,48,10977256
GPU0,dynamic,3,2703887424,339738624,96,16,96,48,11196359
GPU3,dynamic,3,2703887424,339738624,96,16,96,48,11205549
GPU2,dynamic,3,2703887424,339738624,96,16,96,48,11425736
GPU6,dynamic,4,2703887424,339738624,96,16,96,48,7057792
GPU4,dynamic,4,2703887424,339738624,96,16,96,48,7316115
GPU7,dynamic,4,2703887424,339738624,96,16,96,48,7584798
GPU5,dynamic,4,2703887424,339738624,96,16,96,48,7777815
GPU2,dynamic,4,2703887424,339738624,96,16,96,48,8641561
GPU1,dynamic,4,2703887424,339738624,96,16,96,48,8833515
GPU0,dynamic,4,2703887424,339738624,96,16,96,48,9027818
GPU3,dynamic,4,2703887424,339738624,96,16,96,48,9035713
GPU6,guided,1,2703887424,339738624,96,16,96,48,364504623
GPU0,guided,1,2703887424,339738624,96,16,96,48,369296473
GPU3,guided,1,2703887424,339738624,96,16,96,48,370375191
GPU5,guided,1,2703887424,339738624,96,16,96,48,371674792
GPU1,guided,1,2703887424,339738624,96,16,96,48,372734068
GPU7,guided,1,2703887424,339738624,96,16,96,48,375284722
GPU2,guided,1,2703887424,339738624,96,16,96,48,375476687
GPU4,guided,1,2703887424,339738624,96,16,96,48,379824123
GPU6,guided,2,2703887424,339738624,96,16,96,48,9028857
GPU4,guided,2,2703887424,339738624,96,16,96,48,9497983
GPU2,guided,2,2703887424,339738624,96,16,96,48,9691214
GPU3,guided,2,2703887424,339738624,96,16,96,48,9883500
GPU0,guided,2,2703887424,339738624,96,16,96,48,9893208
GPU5,guided,2,2703887424,339738624,96,16,96,48,9900137
GPU7,guided,2,2703887424,339738624,96,16,96,48,10092022
GPU1,guided,2,2703887424,339738624,96,16,96,48,10283861
GPU6,guided,3,2703887424,339738624,96,16,96,48,9172266
GPU4,guided,3,2703887424,339738624,96,16,96,48,9391612
GPU7,guided,3,2703887424,339738624,96,16,96,48,9610509
GPU5,guided,3,2703887424,339738624,96,16,96,48,9829351
GPU3,guided,3,2703887424,339738624,96,16,96,48,10750676
GPU1,guided,3,2703887424,339738624,96,16,96,48,10942685
GPU2,guided,3,2703887424,339738624,96,16,96,48,11163677
GPU0,guided,3,2703887424,339738624,96,16,96,48,11169357
GPU4,guided,4,2703887424,339738624,96,16,96,48,7306498
GPU6,guided,4,2703887424,339738624,96,16,96,48,7525622
GPU7,guided,4,2703887424,339738624,96,16,96,48,7535076
GPU5,guided,4,2703887424,339738624,96,16,96,48,7541856
GPU3,guided,4,2703887424,339738624,96,16,96,48,8462090
GPU2,guided,4,2703887424,339738624,96,16,96,48,8682320
GPU0,guided,4,2703887424,339738624,96,16,96,48,8690528
GPU1,guided,4,2703887424,339738624,96,16,96,48,8694880
