Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,16,96,16,48,47719
GPU5,static,1,503544384,56623104,16,96,16,48,710133
GPU4,static,1,503544384,56623104,16,96,16,48,711619
GPU2,static,1,503544384,56623104,16,96,16,48,726282
GPU1,static,1,503544384,56623104,16,96,16,48,727490
GPU3,static,1,503544384,56623104,16,96,16,48,734582
GPU0,static,1,503544384,56623104,16,96,16,48,749678
GPU4,static,2,503544384,56623104,16,96,16,48,390586
GPU5,static,2,503544384,56623104,16,96,16,48,391194
GPU3,static,2,503544384,56623104,16,96,16,48,430090
GPU1,static,2,503544384,56623104,16,96,16,48,437704
GPU2,static,2,503544384,56623104,16,96,16,48,438729
GPU0,static,2,503544384,56623104,16,96,16,48,440066
GPU4,static,3,503544384,56623104,16,96,16,48,395302
GPU5,static,3,503544384,56623104,16,96,16,48,396497
GPU3,static,3,503544384,56623104,16,96,16,48,428572
GPU2,static,3,503544384,56623104,16,96,16,48,436199
GPU1,static,3,503544384,56623104,16,96,16,48,437238
GPU0,static,3,503544384,56623104,16,96,16,48,438560
GPU5,static,4,503544384,56623104,16,96,16,48,392281
GPU4,static,4,503544384,56623104,16,96,16,48,394912
GPU2,static,4,503544384,56623104,16,96,16,48,437838
GPU0,static,4,503544384,56623104,16,96,16,48,438487
GPU3,static,4,503544384,56623104,16,96,16,48,439497
GPU1,static,4,503544384,56623104,16,96,16,48,440745
GPU4,dynamic,1,503544384,56623104,16,96,16,48,660171
GPU5,dynamic,1,503544384,56623104,16,96,16,48,663113
GPU1,dynamic,1,503544384,56623104,16,96,16,48,705486
GPU3,dynamic,1,503544384,56623104,16,96,16,48,712871
GPU2,dynamic,1,503544384,56623104,16,96,16,48,714177
GPU0,dynamic,1,503544384,56623104,16,96,16,48,757128
GPU5,dynamic,2,503544384,56623104,16,96,16,48,394706
GPU4,dynamic,2,503544384,56623104,16,96,16,48,395309
GPU3,dynamic,2,503544384,56623104,16,96,16,48,446987
GPU2,dynamic,2,503544384,56623104,16,96,16,48,447642
GPU1,dynamic,2,503544384,56623104,16,96,16,48,452261
GPU0,dynamic,2,503544384,56623104,16,96,16,48,454059
GPU4,dynamic,3,503544384,56623104,16,96,16,48,391180
GPU5,dynamic,3,503544384,56623104,16,96,16,48,394715
GPU3,dynamic,3,503544384,56623104,16,96,16,48,432706
GPU2,dynamic,3,503544384,56623104,16,96,16,48,433364
GPU1,dynamic,3,503544384,56623104,16,96,16,48,434393
GPU0,dynamic,3,503544384,56623104,16,96,16,48,435734
GPU4,dynamic,4,503544384,56623104,16,96,16,48,393304
GPU5,dynamic,4,503544384,56623104,16,96,16,48,394707
GPU3,dynamic,4,503544384,56623104,16,96,16,48,432109
GPU1,dynamic,4,503544384,56623104,16,96,16,48,432750
GPU0,dynamic,4,503544384,56623104,16,96,16,48,433784
GPU2,dynamic,4,503544384,56623104,16,96,16,48,435082
GPU4,guided,1,503544384,56623104,16,96,16,48,662913
GPU5,guided,1,503544384,56623104,16,96,16,48,667650
GPU1,guided,1,503544384,56623104,16,96,16,48,707021
GPU3,guided,1,503544384,56623104,16,96,16,48,715222
GPU2,guided,1,503544384,56623104,16,96,16,48,716540
GPU0,guided,1,503544384,56623104,16,96,16,48,760996
GPU5,guided,2,503544384,56623104,16,96,16,48,388016
GPU4,guided,2,503544384,56623104,16,96,16,48,388619
GPU2,guided,2,503544384,56623104,16,96,16,48,436231
GPU1,guided,2,503544384,56623104,16,96,16,48,439169
GPU3,guided,2,503544384,56623104,16,96,16,48,443925
GPU0,guided,2,503544384,56623104,16,96,16,48,445487
GPU4,guided,3,503544384,56623104,16,96,16,48,393532
GPU5,guided,3,503544384,56623104,16,96,16,48,394464
GPU1,guided,3,503544384,56623104,16,96,16,48,423256
GPU3,guided,3,503544384,56623104,16,96,16,48,430837
GPU2,guided,3,503544384,56623104,16,96,16,48,431918
GPU0,guided,3,503544384,56623104,16,96,16,48,433247
GPU5,guided,4,503544384,56623104,16,96,16,48,387440
GPU4,guided,4,503544384,56623104,16,96,16,48,390107
GPU1,guided,4,503544384,56623104,16,96,16,48,424682
GPU3,guided,4,503544384,56623104,16,96,16,48,427653
GPU0,guided,4,503544384,56623104,16,96,16,48,428528
GPU2,guided,4,503544384,56623104,16,96,16,48,430054
