Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,96,16,16,48,32685
GPU1,static,1,477440064,56623104,96,16,16,48,577497
GPU3,static,1,477440064,56623104,96,16,16,48,592167
GPU0,static,1,477440064,56623104,96,16,16,48,610686
GPU5,static,1,477440064,56623104,96,16,16,48,614223
GPU4,static,1,477440064,56623104,96,16,16,48,616769
GPU2,static,1,477440064,56623104,96,16,16,48,636786
GPU4,static,2,477440064,56623104,96,16,16,48,295934
GPU5,static,2,477440064,56623104,96,16,16,48,298109
GPU2,static,2,477440064,56623104,96,16,16,48,303985
GPU1,static,2,477440064,56623104,96,16,16,48,304516
GPU3,static,2,477440064,56623104,96,16,16,48,305302
GPU0,static,2,477440064,56623104,96,16,16,48,306221
GPU5,static,3,477440064,56623104,96,16,16,48,282778
GPU4,static,3,477440064,56623104,96,16,16,48,284963
GPU2,static,3,477440064,56623104,96,16,16,48,290783
GPU0,static,3,477440064,56623104,96,16,16,48,291317
GPU1,static,3,477440064,56623104,96,16,16,48,292044
GPU3,static,3,477440064,56623104,96,16,16,48,292956
GPU5,static,4,477440064,56623104,96,16,16,48,287137
GPU4,static,4,477440064,56623104,96,16,16,48,288339
GPU3,static,4,477440064,56623104,96,16,16,48,293963
GPU0,static,4,477440064,56623104,96,16,16,48,295488
GPU1,static,4,477440064,56623104,96,16,16,48,296204
GPU2,static,4,477440064,56623104,96,16,16,48,297152
GPU5,dynamic,1,477440064,56623104,96,16,16,48,581809
GPU0,dynamic,1,477440064,56623104,96,16,16,48,584447
GPU4,dynamic,1,477440064,56623104,96,16,16,48,588490
GPU1,dynamic,1,477440064,56623104,96,16,16,48,591139
GPU3,dynamic,1,477440064,56623104,96,16,16,48,591750
GPU2,dynamic,1,477440064,56623104,96,16,16,48,592874
GPU4,dynamic,2,477440064,56623104,96,16,16,48,313438
GPU5,dynamic,2,477440064,56623104,96,16,16,48,315635
GPU2,dynamic,2,477440064,56623104,96,16,16,48,321566
GPU1,dynamic,2,477440064,56623104,96,16,16,48,322099
GPU3,dynamic,2,477440064,56623104,96,16,16,48,322848
GPU0,dynamic,2,477440064,56623104,96,16,16,48,323786
GPU5,dynamic,3,477440064,56623104,96,16,16,48,284421
GPU4,dynamic,3,477440064,56623104,96,16,16,48,286230
GPU1,dynamic,3,477440064,56623104,96,16,16,48,291882
GPU2,dynamic,3,477440064,56623104,96,16,16,48,292791
GPU3,dynamic,3,477440064,56623104,96,16,16,48,293422
GPU0,dynamic,3,477440064,56623104,96,16,16,48,294356
GPU4,dynamic,4,477440064,56623104,96,16,16,48,275412
GPU5,dynamic,4,477440064,56623104,96,16,16,48,277380
GPU2,dynamic,4,477440064,56623104,96,16,16,48,281788
GPU1,dynamic,4,477440064,56623104,96,16,16,48,282320
GPU0,dynamic,4,477440064,56623104,96,16,16,48,283076
GPU3,dynamic,4,477440064,56623104,96,16,16,48,284008
GPU5,guided,1,477440064,56623104,96,16,16,48,586664
GPU4,guided,1,477440064,56623104,96,16,16,48,591867
GPU0,guided,1,477440064,56623104,96,16,16,48,597504
GPU1,guided,1,477440064,56623104,96,16,16,48,598032
GPU3,guided,1,477440064,56623104,96,16,16,48,598827
GPU2,guided,1,477440064,56623104,96,16,16,48,599751
GPU5,guided,2,477440064,56623104,96,16,16,48,315204
GPU4,guided,2,477440064,56623104,96,16,16,48,316402
GPU3,guided,2,477440064,56623104,96,16,16,48,322039
GPU0,guided,2,477440064,56623104,96,16,16,48,322579
GPU1,guided,2,477440064,56623104,96,16,16,48,323279
GPU2,guided,2,477440064,56623104,96,16,16,48,324226
GPU3,guided,3,477440064,56623104,96,16,16,48,284675
GPU4,guided,3,477440064,56623104,96,16,16,48,285078
GPU5,guided,3,477440064,56623104,96,16,16,48,287325
GPU1,guided,3,477440064,56623104,96,16,16,48,291614
GPU0,guided,3,477440064,56623104,96,16,16,48,292391
GPU2,guided,3,477440064,56623104,96,16,16,48,293335
GPU5,guided,4,477440064,56623104,96,16,16,48,285695
GPU4,guided,4,477440064,56623104,96,16,16,48,286915
GPU1,guided,4,477440064,56623104,96,16,16,48,292562
GPU0,guided,4,477440064,56623104,96,16,16,48,293096
GPU2,guided,4,477440064,56623104,96,16,16,48,293874
GPU3,guided,4,477440064,56623104,96,16,16,48,294790
