Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,100,1,1,1,96,8,3,3,36703,0.0367
GPU0,static,1,36864,1152,100,1,1,1,96,8,3,3,4664254,4.6643
GPU1,static,1,36864,1152,100,1,1,1,96,8,3,3,9345947,9.3459
GPU1,dynamic,1,36864,1152,100,1,1,1,96,8,3,3,4660368,4.6604
GPU0,dynamic,1,36864,1152,100,1,1,1,96,8,3,3,4681570,4.6816
GPU1,guided,1,36864,1152,100,1,1,1,96,8,3,3,4660212,4.6602
GPU0,guided,1,36864,1152,100,1,1,1,96,8,3,3,4662120,4.6621
GPU1,static,2,36864,1152,100,1,1,1,96,8,3,3,4659999,4.6600
GPU0,static,2,36864,1152,100,1,1,1,96,8,3,3,4661804,4.6618
GPU1,dynamic,2,36864,1152,100,1,1,1,96,8,3,3,4660335,4.6603
GPU0,dynamic,2,36864,1152,100,1,1,1,96,8,3,3,4662739,4.6627
GPU1,guided,2,36864,1152,100,1,1,1,96,8,3,3,4660292,4.6603
GPU0,guided,2,36864,1152,100,1,1,1,96,8,3,3,4661666,4.6617
GPU1,static,3,36864,1152,100,1,1,1,96,8,3,3,4659858,4.6599
GPU0,static,3,36864,1152,100,1,1,1,96,8,3,3,4661367,4.6614
GPU1,dynamic,3,36864,1152,100,1,1,1,96,8,3,3,4660286,4.6603
GPU0,dynamic,3,36864,1152,100,1,1,1,96,8,3,3,4661746,4.6617
GPU1,guided,3,36864,1152,100,1,1,1,96,8,3,3,4660279,4.6603
GPU0,guided,3,36864,1152,100,1,1,1,96,8,3,3,4661643,4.6616
GPU1,static,4,36864,1152,100,1,1,1,96,8,3,3,48971,0.0490
GPU0,static,4,36864,1152,100,1,1,1,96,8,3,3,49047,0.0490
GPU1,dynamic,4,36864,1152,100,1,1,1,96,8,3,3,48931,0.0489
GPU0,dynamic,4,36864,1152,100,1,1,1,96,8,3,3,48986,0.0490
GPU1,guided,4,36864,1152,100,1,1,1,96,8,3,3,48935,0.0489
GPU0,guided,4,36864,1152,100,1,1,1,96,8,3,3,48979,0.0490
