Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,1,32,96,4,3,3,585377,0.5854
GPU0,static,1,589824,36864,1000,1,1,32,96,4,3,3,759720779,759.7208
GPU1,static,1,589824,36864,1000,1,1,32,96,4,3,3,1519465585,1519.4656
GPU0,dynamic,1,589824,36864,1000,1,1,32,96,4,3,3,759794877,759.7949
GPU1,dynamic,1,589824,36864,1000,1,1,32,96,4,3,3,759831618,759.8316
GPU0,guided,1,589824,36864,1000,1,1,32,96,4,3,3,759769320,759.7693
GPU1,guided,1,589824,36864,1000,1,1,32,96,4,3,3,759805746,759.8057
GPU0,static,2,589824,36864,1000,1,1,32,96,4,3,3,759679297,759.6793
GPU1,static,2,589824,36864,1000,1,1,32,96,4,3,3,759744677,759.7447
GPU0,dynamic,2,589824,36864,1000,1,1,32,96,4,3,3,759774562,759.7746
GPU1,dynamic,2,589824,36864,1000,1,1,32,96,4,3,3,759926771,759.9268
GPU0,guided,2,589824,36864,1000,1,1,32,96,4,3,3,759761780,759.7618
GPU1,guided,2,589824,36864,1000,1,1,32,96,4,3,3,759969481,759.9695
GPU0,static,3,589824,36864,1000,1,1,32,96,4,3,3,23934248,23.9342
GPU1,static,3,589824,36864,1000,1,1,32,96,4,3,3,23941096,23.9411
GPU0,dynamic,3,589824,36864,1000,1,1,32,96,4,3,3,23949435,23.9494
GPU1,dynamic,3,589824,36864,1000,1,1,32,96,4,3,3,23950014,23.9500
GPU0,guided,3,589824,36864,1000,1,1,32,96,4,3,3,23944713,23.9447
GPU1,guided,3,589824,36864,1000,1,1,32,96,4,3,3,23953328,23.9533
GPU0,static,4,589824,36864,1000,1,1,32,96,4,3,3,250401,0.2504
GPU1,static,4,589824,36864,1000,1,1,32,96,4,3,3,251251,0.2513
GPU1,dynamic,4,589824,36864,1000,1,1,32,96,4,3,3,250224,0.2502
GPU0,dynamic,4,589824,36864,1000,1,1,32,96,4,3,3,250392,0.2504
GPU1,guided,4,589824,36864,1000,1,1,32,96,4,3,3,250212,0.2502
GPU0,guided,4,589824,36864,1000,1,1,32,96,4,3,3,250648,0.2506
