Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,96,16,48,48,96379
GPU5,static,1,1368019008,169869312,96,16,48,48,1622654
GPU4,static,1,1368019008,169869312,96,16,48,48,1632362
GPU0,static,1,1368019008,169869312,96,16,48,48,1690780
GPU1,static,1,1368019008,169869312,96,16,48,48,1727472
GPU2,static,1,1368019008,169869312,96,16,48,48,1743564
GPU3,static,1,1368019008,169869312,96,16,48,48,1745845
GPU5,static,2,1368019008,169869312,96,16,48,48,715301
GPU4,static,2,1368019008,169869312,96,16,48,48,716782
GPU0,static,2,1368019008,169869312,96,16,48,48,834454
GPU3,static,2,1368019008,169869312,96,16,48,48,835490
GPU2,static,2,1368019008,169869312,96,16,48,48,837100
GPU1,static,2,1368019008,169869312,96,16,48,48,839227
GPU5,static,3,1368019008,169869312,96,16,48,48,714379
GPU4,static,3,1368019008,169869312,96,16,48,48,716342
GPU2,static,3,1368019008,169869312,96,16,48,48,840936
GPU1,static,3,1368019008,169869312,96,16,48,48,841968
GPU0,static,3,1368019008,169869312,96,16,48,48,843473
GPU3,static,3,1368019008,169869312,96,16,48,48,845566
GPU5,static,4,1368019008,169869312,96,16,48,48,730989
GPU4,static,4,1368019008,169869312,96,16,48,48,732217
GPU0,static,4,1368019008,169869312,96,16,48,48,797065
GPU3,static,4,1368019008,169869312,96,16,48,48,799052
GPU2,static,4,1368019008,169869312,96,16,48,48,858531
GPU1,static,4,1368019008,169869312,96,16,48,48,860791
GPU5,dynamic,1,1368019008,169869312,96,16,48,48,1576765
GPU4,dynamic,1,1368019008,169869312,96,16,48,48,1589169
GPU1,dynamic,1,1368019008,169869312,96,16,48,48,1748146
GPU2,dynamic,1,1368019008,169869312,96,16,48,48,1757726
GPU0,dynamic,1,1368019008,169869312,96,16,48,48,1773421
GPU3,dynamic,1,1368019008,169869312,96,16,48,48,1775688
GPU5,dynamic,2,1368019008,169869312,96,16,48,48,717771
GPU4,dynamic,2,1368019008,169869312,96,16,48,48,719886
GPU3,dynamic,2,1368019008,169869312,96,16,48,48,862749
GPU0,dynamic,2,1368019008,169869312,96,16,48,48,863774
GPU2,dynamic,2,1368019008,169869312,96,16,48,48,865417
GPU1,dynamic,2,1368019008,169869312,96,16,48,48,867530
GPU5,dynamic,3,1368019008,169869312,96,16,48,48,699920
GPU4,dynamic,3,1368019008,169869312,96,16,48,48,701795
GPU1,dynamic,3,1368019008,169869312,96,16,48,48,828529
GPU2,dynamic,3,1368019008,169869312,96,16,48,48,829636
GPU3,dynamic,3,1368019008,169869312,96,16,48,48,831139
GPU0,dynamic,3,1368019008,169869312,96,16,48,48,833241
GPU5,dynamic,4,1368019008,169869312,96,16,48,48,702729
GPU4,dynamic,4,1368019008,169869312,96,16,48,48,705118
GPU2,dynamic,4,1368019008,169869312,96,16,48,48,846470
GPU3,dynamic,4,1368019008,169869312,96,16,48,48,847512
GPU1,dynamic,4,1368019008,169869312,96,16,48,48,849026
GPU0,dynamic,4,1368019008,169869312,96,16,48,48,851135
GPU5,guided,1,1368019008,169869312,96,16,48,48,1569942
GPU4,guided,1,1368019008,169869312,96,16,48,48,1612602
GPU0,guided,1,1368019008,169869312,96,16,48,48,1730484
GPU1,guided,1,1368019008,169869312,96,16,48,48,1746720
GPU2,guided,1,1368019008,169869312,96,16,48,48,1748142
GPU3,guided,1,1368019008,169869312,96,16,48,48,1761411
GPU5,guided,2,1368019008,169869312,96,16,48,48,731629
GPU4,guided,2,1368019008,169869312,96,16,48,48,741619
GPU2,guided,2,1368019008,169869312,96,16,48,48,841506
GPU0,guided,2,1368019008,169869312,96,16,48,48,842535
GPU3,guided,2,1368019008,169869312,96,16,48,48,844071
GPU1,guided,2,1368019008,169869312,96,16,48,48,846186
GPU5,guided,3,1368019008,169869312,96,16,48,48,660928
GPU4,guided,3,1368019008,169869312,96,16,48,48,663313
GPU1,guided,3,1368019008,169869312,96,16,48,48,798407
GPU2,guided,3,1368019008,169869312,96,16,48,48,799516
GPU3,guided,3,1368019008,169869312,96,16,48,48,801058
GPU0,guided,3,1368019008,169869312,96,16,48,48,803172
GPU5,guided,4,1368019008,169869312,96,16,48,48,704155
GPU4,guided,4,1368019008,169869312,96,16,48,48,706145
GPU1,guided,4,1368019008,169869312,96,16,48,48,844879
GPU2,guided,4,1368019008,169869312,96,16,48,48,845985
GPU3,guided,4,1368019008,169869312,96,16,48,48,847543
GPU0,guided,4,1368019008,169869312,96,16,48,48,848982
