Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,0,0,0,0,52,52,52,104,742299
transform1,1,1,static,4,0,0,0,0,52,52,52,104,417786
transform2,1,1,dynamic,4,0,0,0,0,52,52,52,104,446113
transform3,1,1,guided,4,0,0,0,0,52,52,52,104,427989
transform4,1,1,static,3,0,0,0,0,52,52,52,104,471188
transform5,1,1,dynamic,3,0,0,0,0,52,52,52,104,412327
transform6,1,1,guided,3,0,0,0,0,52,52,52,104,412673
transform7,1,1,static,2,0,0,0,0,52,52,52,104,407380
transform8,1,1,dynamic,2,0,0,0,0,52,52,52,104,464573
transform9,1,1,guided,2,0,0,0,0,52,52,52,104,484459
transform10,1,1,static,1,0,0,0,0,52,52,52,104,1712270
transform11,1,1,dynamic,1,0,0,0,0,52,52,52,104,1710311
transform12,1,1,guided,1,0,0,0,0,52,52,52,104,1711896
transform13,1,2,static,3,0,0,0,0,52,52,52,104,498092
transform14,1,2,dynamic,3,0,0,0,0,52,52,52,104,497393
transform15,1,2,guided,3,0,0,0,0,52,52,52,104,500578
transform16,1,2,static,2,0,0,0,0,52,52,52,104,591468
transform17,1,2,dynamic,2,0,0,0,0,52,52,52,104,514849
transform18,1,2,guided,2,0,0,0,0,52,52,52,104,456645
transform19,1,2,static,1,0,0,0,0,52,52,52,104,540434
transform20,1,2,dynamic,1,0,0,0,0,52,52,52,104,412394
transform21,1,2,guided,1,0,0,0,0,52,52,52,104,470455
transform22,1,3,static,2,0,0,0,0,52,52,52,104,449701
transform23,1,3,dynamic,2,0,0,0,0,52,52,52,104,536801
transform24,1,3,guided,2,0,0,0,0,52,52,52,104,496388
transform25,1,3,static,1,0,0,0,0,52,52,52,104,510941
transform26,1,3,dynamic,1,0,0,0,0,52,52,52,104,552024
transform27,1,3,guided,1,0,0,0,0,52,52,52,104,455820
transform28,1,4,static,1,0,0,0,0,52,52,52,104,521237
transform29,1,4,dynamic,1,0,0,0,0,52,52,52,104,529103
transform30,1,4,guided,1,0,0,0,0,52,52,52,104,554967
transform31,2,3,static,2,0,0,0,0,52,52,52,104,453932
transform32,2,3,dynamic,2,0,0,0,0,52,52,52,104,394433
transform33,2,3,guided,2,0,0,0,0,52,52,52,104,394705
transform34,2,3,static,1,0,0,0,0,52,52,52,104,447486
transform35,2,3,dynamic,1,0,0,0,0,52,52,52,104,390481
transform36,2,3,guided,1,0,0,0,0,52,52,52,104,442724
transform37,2,4,static,1,0,0,0,0,52,52,52,104,433233
transform38,2,4,dynamic,1,0,0,0,0,52,52,52,104,369951
transform39,2,4,guided,1,0,0,0,0,52,52,52,104,475198
transform40,3,4,static,1,0,0,0,0,52,52,52,104,416132
transform41,3,4,dynamic,1,0,0,0,0,52,52,52,104,347926
transform42,3,4,guided,1,0,0,0,0,52,52,52,104,347450
