Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,274747200,31850496,31850496,274747200,24,24,24,48,44266
transform1,1,1,static,4,274747200,31850496,31850496,274747200,24,24,24,48,199860
transform2,1,1,dynamic,4,274747200,31850496,31850496,274747200,24,24,24,48,134314
transform3,1,1,guided,4,274747200,31850496,31850496,274747200,24,24,24,48,118661
transform4,1,1,static,3,274747200,31850496,31850496,274747200,24,24,24,48,130852
transform5,1,1,dynamic,3,274747200,31850496,31850496,274747200,24,24,24,48,132068
transform6,1,1,guided,3,274747200,31850496,31850496,274747200,24,24,24,48,144351
transform7,1,1,static,2,274747200,31850496,31850496,274747200,24,24,24,48,138241
transform8,1,1,dynamic,2,274747200,31850496,31850496,274747200,24,24,24,48,138558
transform9,1,1,guided,2,274747200,31850496,31850496,274747200,24,24,24,48,139309
transform10,1,1,static,1,274747200,31850496,31850496,274747200,24,24,24,48,301559
transform11,1,1,dynamic,1,274747200,31850496,31850496,274747200,24,24,24,48,301322
transform12,1,1,guided,1,274747200,31850496,31850496,274747200,24,24,24,48,291261
transform13,1,2,static,3,274747200,31850496,31850496,274747200,24,24,24,48,128095
transform14,1,2,dynamic,3,274747200,31850496,31850496,274747200,24,24,24,48,132502
transform15,1,2,guided,3,274747200,31850496,31850496,274747200,24,24,24,48,129598
transform16,1,2,static,2,274747200,31850496,31850496,274747200,24,24,24,48,134136
transform17,1,2,dynamic,2,274747200,31850496,31850496,274747200,24,24,24,48,133620
transform18,1,2,guided,2,274747200,31850496,31850496,274747200,24,24,24,48,134004
transform19,1,2,static,1,274747200,31850496,31850496,274747200,24,24,24,48,133613
transform20,1,2,dynamic,1,274747200,31850496,31850496,274747200,24,24,24,48,135638
transform21,1,2,guided,1,274747200,31850496,31850496,274747200,24,24,24,48,137078
transform22,1,3,static,2,274747200,31850496,31850496,274747200,24,24,24,48,136471
transform23,1,3,dynamic,2,274747200,31850496,31850496,274747200,24,24,24,48,140786
transform24,1,3,guided,2,274747200,31850496,31850496,274747200,24,24,24,48,140282
transform25,1,3,static,1,274747200,31850496,31850496,274747200,24,24,24,48,132024
transform26,1,3,dynamic,1,274747200,31850496,31850496,274747200,24,24,24,48,134382
transform27,1,3,guided,1,274747200,31850496,31850496,274747200,24,24,24,48,137028
transform28,1,4,static,1,274747200,31850496,31850496,274747200,24,24,24,48,128385
transform29,1,4,dynamic,1,274747200,31850496,31850496,274747200,24,24,24,48,132721
transform30,1,4,guided,1,274747200,31850496,31850496,274747200,24,24,24,48,128957
transform31,2,3,static,2,274747200,31850496,31850496,274747200,24,24,24,48,126423
transform32,2,3,dynamic,2,274747200,31850496,31850496,274747200,24,24,24,48,126092
transform33,2,3,guided,2,274747200,31850496,31850496,274747200,24,24,24,48,130806
transform34,2,3,static,1,274747200,31850496,31850496,274747200,24,24,24,48,134041
transform35,2,3,dynamic,1,274747200,31850496,31850496,274747200,24,24,24,48,132506
transform36,2,3,guided,1,274747200,31850496,31850496,274747200,24,24,24,48,131878
transform37,2,4,static,1,274747200,31850496,31850496,274747200,24,24,24,48,127238
transform38,2,4,dynamic,1,274747200,31850496,31850496,274747200,24,24,24,48,129809
transform39,2,4,guided,1,274747200,31850496,31850496,274747200,24,24,24,48,131160
transform40,3,4,static,1,274747200,31850496,31850496,274747200,24,24,24,48,121717
transform41,3,4,dynamic,1,274747200,31850496,31850496,274747200,24,24,24,48,117891
transform42,3,4,guided,1,274747200,31850496,31850496,274747200,24,24,24,48,115165
