Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,162565824,17915904,17915904,162565824,36,36,36,8,26566
transform1,1,1,static,4,162565824,17915904,17915904,162565824,36,36,36,8,69139
transform2,1,1,dynamic,4,162565824,17915904,17915904,162565824,36,36,36,8,75620
transform3,1,1,guided,4,162565824,17915904,17915904,162565824,36,36,36,8,70800
transform4,1,1,static,3,162565824,17915904,17915904,162565824,36,36,36,8,80679
transform5,1,1,dynamic,3,162565824,17915904,17915904,162565824,36,36,36,8,80143
transform6,1,1,guided,3,162565824,17915904,17915904,162565824,36,36,36,8,78331
transform7,1,1,static,2,162565824,17915904,17915904,162565824,36,36,36,8,88030
transform8,1,1,dynamic,2,162565824,17915904,17915904,162565824,36,36,36,8,86564
transform9,1,1,guided,2,162565824,17915904,17915904,162565824,36,36,36,8,85704
transform10,1,1,static,1,162565824,17915904,17915904,162565824,36,36,36,8,675039
transform11,1,1,dynamic,1,162565824,17915904,17915904,162565824,36,36,36,8,646472
transform12,1,1,guided,1,162565824,17915904,17915904,162565824,36,36,36,8,675415
transform13,1,2,static,3,162565824,17915904,17915904,162565824,36,36,36,8,72127
transform14,1,2,dynamic,3,162565824,17915904,17915904,162565824,36,36,36,8,135547
transform15,1,2,guided,3,162565824,17915904,17915904,162565824,36,36,36,8,97028
transform16,1,2,static,2,162565824,17915904,17915904,162565824,36,36,36,8,135832
transform17,1,2,dynamic,2,162565824,17915904,17915904,162565824,36,36,36,8,133920
transform18,1,2,guided,2,162565824,17915904,17915904,162565824,36,36,36,8,130876
transform19,1,2,static,1,162565824,17915904,17915904,162565824,36,36,36,8,140620
transform20,1,2,dynamic,1,162565824,17915904,17915904,162565824,36,36,36,8,201001
transform21,1,2,guided,1,162565824,17915904,17915904,162565824,36,36,36,8,181442
transform22,1,3,static,2,162565824,17915904,17915904,162565824,36,36,36,8,141880
transform23,1,3,dynamic,2,162565824,17915904,17915904,162565824,36,36,36,8,174110
transform24,1,3,guided,2,162565824,17915904,17915904,162565824,36,36,36,8,93670
transform25,1,3,static,1,162565824,17915904,17915904,162565824,36,36,36,8,142110
transform26,1,3,dynamic,1,162565824,17915904,17915904,162565824,36,36,36,8,142567
transform27,1,3,guided,1,162565824,17915904,17915904,162565824,36,36,36,8,133824
transform28,1,4,static,1,162565824,17915904,17915904,162565824,36,36,36,8,134280
transform29,1,4,dynamic,1,162565824,17915904,17915904,162565824,36,36,36,8,134901
transform30,1,4,guided,1,162565824,17915904,17915904,162565824,36,36,36,8,134241
transform31,2,3,static,2,162565824,17915904,17915904,162565824,36,36,36,8,75107
transform32,2,3,dynamic,2,162565824,17915904,17915904,162565824,36,36,36,8,84580
transform33,2,3,guided,2,162565824,17915904,17915904,162565824,36,36,36,8,77275
transform34,2,3,static,1,162565824,17915904,17915904,162565824,36,36,36,8,80754
transform35,2,3,dynamic,1,162565824,17915904,17915904,162565824,36,36,36,8,87129
transform36,2,3,guided,1,162565824,17915904,17915904,162565824,36,36,36,8,80958
transform37,2,4,static,1,162565824,17915904,17915904,162565824,36,36,36,8,73019
transform38,2,4,dynamic,1,162565824,17915904,17915904,162565824,36,36,36,8,69566
transform39,2,4,guided,1,162565824,17915904,17915904,162565824,36,36,36,8,73260
transform40,3,4,static,1,162565824,17915904,17915904,162565824,36,36,36,8,66878
transform41,3,4,dynamic,1,162565824,17915904,17915904,162565824,36,36,36,8,66558
transform42,3,4,guided,1,162565824,17915904,17915904,162565824,36,36,36,8,65278
