Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,1310692
transform1,1,1,static,4,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3758203
transform2,1,1,dynamic,4,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3344749
transform3,1,1,guided,4,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3347718
transform4,1,1,static,3,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3549894
transform5,1,1,dynamic,3,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3567675
transform6,1,1,guided,3,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3591582
transform7,1,1,static,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3589326
transform8,1,1,dynamic,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3571602
transform9,1,1,guided,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3577427
transform10,1,1,static,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,5246649
transform11,1,1,dynamic,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,5235194
transform12,1,1,guided,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,5237485
transform13,1,2,static,3,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3698468
transform14,1,2,dynamic,3,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3700289
transform15,1,2,guided,3,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3695711
transform16,1,2,static,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3809445
transform17,1,2,dynamic,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3750409
transform18,1,2,guided,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3731077
transform19,1,2,static,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,4192683
transform20,1,2,dynamic,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,4256624
transform21,1,2,guided,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,4299521
transform22,1,3,static,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3729376
transform23,1,3,dynamic,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3672764
transform24,1,3,guided,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3702907
transform25,1,3,static,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3726072
transform26,1,3,dynamic,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3736254
transform27,1,3,guided,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3728812
transform28,1,4,static,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3557299
transform29,1,4,dynamic,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3687677
transform30,1,4,guided,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3714390
transform31,2,3,static,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3390006
transform32,2,3,dynamic,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3517687
transform33,2,3,guided,2,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3489411
transform34,2,3,static,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3551874
transform35,2,3,dynamic,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3599523
transform36,2,3,guided,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3545811
transform37,2,4,static,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3415120
transform38,2,4,dynamic,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3394279
transform39,2,4,guided,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3441865
transform40,3,4,static,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3444112
transform41,3,4,dynamic,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3355712
transform42,3,4,guided,1,9480172992,1244160000,1244160000,9480172992,60,60,60,120,3368693
