Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,0,0,0,0,28,28,28,56,194510
transform1,1,1,static,4,0,0,0,0,28,28,28,56,96948
transform2,1,1,dynamic,4,0,0,0,0,28,28,28,56,97784
transform3,1,1,guided,4,0,0,0,0,28,28,28,56,94846
transform4,1,1,static,3,0,0,0,0,28,28,28,56,111279
transform5,1,1,dynamic,3,0,0,0,0,28,28,28,56,112787
transform6,1,1,guided,3,0,0,0,0,28,28,28,56,104869
transform7,1,1,static,2,0,0,0,0,28,28,28,56,117711
transform8,1,1,dynamic,2,0,0,0,0,28,28,28,56,109523
transform9,1,1,guided,2,0,0,0,0,28,28,28,56,120076
transform10,1,1,static,1,0,0,0,0,28,28,28,56,319789
transform11,1,1,dynamic,1,0,0,0,0,28,28,28,56,320971
transform12,1,1,guided,1,0,0,0,0,28,28,28,56,335342
transform13,1,2,static,3,0,0,0,0,28,28,28,56,113391
transform14,1,2,dynamic,3,0,0,0,0,28,28,28,56,105552
transform15,1,2,guided,3,0,0,0,0,28,28,28,56,107219
transform16,1,2,static,2,0,0,0,0,28,28,28,56,121463
transform17,1,2,dynamic,2,0,0,0,0,28,28,28,56,107026
transform18,1,2,guided,2,0,0,0,0,28,28,28,56,117191
transform19,1,2,static,1,0,0,0,0,28,28,28,56,105306
transform20,1,2,dynamic,1,0,0,0,0,28,28,28,56,119671
transform21,1,2,guided,1,0,0,0,0,28,28,28,56,104222
transform22,1,3,static,2,0,0,0,0,28,28,28,56,106004
transform23,1,3,dynamic,2,0,0,0,0,28,28,28,56,117366
transform24,1,3,guided,2,0,0,0,0,28,28,28,56,115273
transform25,1,3,static,1,0,0,0,0,28,28,28,56,119229
transform26,1,3,dynamic,1,0,0,0,0,28,28,28,56,123128
transform27,1,3,guided,1,0,0,0,0,28,28,28,56,107309
transform28,1,4,static,1,0,0,0,0,28,28,28,56,110808
transform29,1,4,dynamic,1,0,0,0,0,28,28,28,56,118580
transform30,1,4,guided,1,0,0,0,0,28,28,28,56,116551
transform31,2,3,static,2,0,0,0,0,28,28,28,56,90822
transform32,2,3,dynamic,2,0,0,0,0,28,28,28,56,109257
transform33,2,3,guided,2,0,0,0,0,28,28,28,56,101224
transform34,2,3,static,1,0,0,0,0,28,28,28,56,128222
transform35,2,3,dynamic,1,0,0,0,0,28,28,28,56,109131
transform36,2,3,guided,1,0,0,0,0,28,28,28,56,111036
transform37,2,4,static,1,0,0,0,0,28,28,28,56,102637
transform38,2,4,dynamic,1,0,0,0,0,28,28,28,56,96132
transform39,2,4,guided,1,0,0,0,0,28,28,28,56,105160
transform40,3,4,static,1,0,0,0,0,28,28,28,56,89016
transform41,3,4,dynamic,1,0,0,0,0,28,28,28,56,96757
transform42,3,4,guided,1,0,0,0,0,28,28,28,56,91641
