Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,0,0,0,0,36,36,36,72,108499
transform1,1,1,static,4,0,0,0,0,36,36,36,72,115222
transform2,1,1,dynamic,4,0,0,0,0,36,36,36,72,114710
transform3,1,1,guided,4,0,0,0,0,36,36,36,72,114232
transform4,1,1,static,3,0,0,0,0,36,36,36,72,137058
transform5,1,1,dynamic,3,0,0,0,0,36,36,36,72,136736
transform6,1,1,guided,3,0,0,0,0,36,36,36,72,136941
transform7,1,1,static,2,0,0,0,0,36,36,36,72,146304
transform8,1,1,dynamic,2,0,0,0,0,36,36,36,72,146252
transform9,1,1,guided,2,0,0,0,0,36,36,36,72,143101
transform10,1,1,static,1,0,0,0,0,36,36,36,72,555182
transform11,1,1,dynamic,1,0,0,0,0,36,36,36,72,555282
transform12,1,1,guided,1,0,0,0,0,36,36,36,72,555285
transform13,1,2,static,3,0,0,0,0,36,36,36,72,136578
transform14,1,2,dynamic,3,0,0,0,0,36,36,36,72,137750
transform15,1,2,guided,3,0,0,0,0,36,36,36,72,137424
transform16,1,2,static,2,0,0,0,0,36,36,36,72,142498
transform17,1,2,dynamic,2,0,0,0,0,36,36,36,72,136096
transform18,1,2,guided,2,0,0,0,0,36,36,36,72,136441
transform19,1,2,static,1,0,0,0,0,36,36,36,72,129389
transform20,1,2,dynamic,1,0,0,0,0,36,36,36,72,135525
transform21,1,2,guided,1,0,0,0,0,36,36,36,72,136265
transform22,1,3,static,2,0,0,0,0,36,36,36,72,136122
transform23,1,3,dynamic,2,0,0,0,0,36,36,36,72,145333
transform24,1,3,guided,2,0,0,0,0,36,36,36,72,144894
transform25,1,3,static,1,0,0,0,0,36,36,36,72,137387
transform26,1,3,dynamic,1,0,0,0,0,36,36,36,72,138522
transform27,1,3,guided,1,0,0,0,0,36,36,36,72,139103
transform28,1,4,static,1,0,0,0,0,36,36,36,72,128656
transform29,1,4,dynamic,1,0,0,0,0,36,36,36,72,138813
transform30,1,4,guided,1,0,0,0,0,36,36,36,72,139687
transform31,2,3,static,2,0,0,0,0,36,36,36,72,117387
transform32,2,3,dynamic,2,0,0,0,0,36,36,36,72,126274
transform33,2,3,guided,2,0,0,0,0,36,36,36,72,127025
transform34,2,3,static,1,0,0,0,0,36,36,36,72,134411
transform35,2,3,dynamic,1,0,0,0,0,36,36,36,72,132377
transform36,2,3,guided,1,0,0,0,0,36,36,36,72,131747
transform37,2,4,static,1,0,0,0,0,36,36,36,72,113709
transform38,2,4,dynamic,1,0,0,0,0,36,36,36,72,119700
transform39,2,4,guided,1,0,0,0,0,36,36,36,72,119725
transform40,3,4,static,1,0,0,0,0,36,36,36,72,117632
transform41,3,4,dynamic,1,0,0,0,0,36,36,36,72,111141
transform42,3,4,guided,1,0,0,0,0,36,36,36,72,111030
