Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,0,0,0,0,64,64,64,8,100272
transform1,1,1,static,4,0,0,0,0,64,64,64,8,72383
transform2,1,1,dynamic,4,0,0,0,0,64,64,64,8,72268
transform3,1,1,guided,4,0,0,0,0,64,64,64,8,72136
transform4,1,1,static,3,0,0,0,0,64,64,64,8,85509
transform5,1,1,dynamic,3,0,0,0,0,64,64,64,8,85808
transform6,1,1,guided,3,0,0,0,0,64,64,64,8,86025
transform7,1,1,static,2,0,0,0,0,64,64,64,8,98658
transform8,1,1,dynamic,2,0,0,0,0,64,64,64,8,98580
transform9,1,1,guided,2,0,0,0,0,64,64,64,8,98803
transform10,1,1,static,1,0,0,0,0,64,64,64,8,3089043
transform11,1,1,dynamic,1,0,0,0,0,64,64,64,8,3087091
transform12,1,1,guided,1,0,0,0,0,64,64,64,8,3086291
transform13,1,2,static,3,0,0,0,0,64,64,64,8,205747
transform14,1,2,dynamic,3,0,0,0,0,64,64,64,8,214736
transform15,1,2,guided,3,0,0,0,0,64,64,64,8,214810
transform16,1,2,static,2,0,0,0,0,64,64,64,8,193645
transform17,1,2,dynamic,2,0,0,0,0,64,64,64,8,196788
transform18,1,2,guided,2,0,0,0,0,64,64,64,8,194250
transform19,1,2,static,1,0,0,0,0,64,64,64,8,195150
transform20,1,2,dynamic,1,0,0,0,0,64,64,64,8,386701
transform21,1,2,guided,1,0,0,0,0,64,64,64,8,386643
transform22,1,3,static,2,0,0,0,0,64,64,64,8,213639
transform23,1,3,dynamic,2,0,0,0,0,64,64,64,8,286842
transform24,1,3,guided,2,0,0,0,0,64,64,64,8,286759
transform25,1,3,static,1,0,0,0,0,64,64,64,8,193687
transform26,1,3,dynamic,1,0,0,0,0,64,64,64,8,193549
transform27,1,3,guided,1,0,0,0,0,64,64,64,8,194023
transform28,1,4,static,1,0,0,0,0,64,64,64,8,185470
transform29,1,4,dynamic,1,0,0,0,0,64,64,64,8,198899
transform30,1,4,guided,1,0,0,0,0,64,64,64,8,198366
transform31,2,3,static,2,0,0,0,0,64,64,64,8,84256
transform32,2,3,dynamic,2,0,0,0,0,64,64,64,8,83178
transform33,2,3,guided,2,0,0,0,0,64,64,64,8,82179
transform34,2,3,static,1,0,0,0,0,64,64,64,8,83599
transform35,2,3,dynamic,1,0,0,0,0,64,64,64,8,84080
transform36,2,3,guided,1,0,0,0,0,64,64,64,8,84516
transform37,2,4,static,1,0,0,0,0,64,64,64,8,76038
transform38,2,4,dynamic,1,0,0,0,0,64,64,64,8,79874
transform39,2,4,guided,1,0,0,0,0,64,64,64,8,78340
transform40,3,4,static,1,0,0,0,0,64,64,64,8,78454
transform41,3,4,dynamic,1,0,0,0,0,64,64,64,8,72305
transform42,3,4,guided,1,0,0,0,0,64,64,64,8,72402
