Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,0,0,0,0,24,24,24,48,46148
transform1,1,1,static,4,0,0,0,0,24,24,24,48,22753
transform2,1,1,dynamic,4,0,0,0,0,24,24,24,48,55574
transform3,1,1,guided,4,0,0,0,0,24,24,24,48,56266
transform4,1,1,static,3,0,0,0,0,24,24,24,48,59510
transform5,1,1,dynamic,3,0,0,0,0,24,24,24,48,66870
transform6,1,1,guided,3,0,0,0,0,24,24,24,48,61740
transform7,1,1,static,2,0,0,0,0,24,24,24,48,73337
transform8,1,1,dynamic,2,0,0,0,0,24,24,24,48,61483
transform9,1,1,guided,2,0,0,0,0,24,24,24,48,72240
transform10,1,1,static,1,0,0,0,0,24,24,24,48,207846
transform11,1,1,dynamic,1,0,0,0,0,24,24,24,48,224425
transform12,1,1,guided,1,0,0,0,0,24,24,24,48,233070
transform13,1,2,static,3,0,0,0,0,24,24,24,48,66422
transform14,1,2,dynamic,3,0,0,0,0,24,24,24,48,68979
transform15,1,2,guided,3,0,0,0,0,24,24,24,48,66877
transform16,1,2,static,2,0,0,0,0,24,24,24,48,69001
transform17,1,2,dynamic,2,0,0,0,0,24,24,24,48,65704
transform18,1,2,guided,2,0,0,0,0,24,24,24,48,70702
transform19,1,2,static,1,0,0,0,0,24,24,24,48,68200
transform20,1,2,dynamic,1,0,0,0,0,24,24,24,48,68393
transform21,1,2,guided,1,0,0,0,0,24,24,24,48,69392
transform22,1,3,static,2,0,0,0,0,24,24,24,48,69574
transform23,1,3,dynamic,2,0,0,0,0,24,24,24,48,60679
transform24,1,3,guided,2,0,0,0,0,24,24,24,48,72106
transform25,1,3,static,1,0,0,0,0,24,24,24,48,60292
transform26,1,3,dynamic,1,0,0,0,0,24,24,24,48,73911
transform27,1,3,guided,1,0,0,0,0,24,24,24,48,60298
transform28,1,4,static,1,0,0,0,0,24,24,24,48,66244
transform29,1,4,dynamic,1,0,0,0,0,24,24,24,48,61435
transform30,1,4,guided,1,0,0,0,0,24,24,24,48,71959
transform31,2,3,static,2,0,0,0,0,24,24,24,48,54544
transform32,2,3,dynamic,2,0,0,0,0,24,24,24,48,68936
transform33,2,3,guided,2,0,0,0,0,24,24,24,48,61464
transform34,2,3,static,1,0,0,0,0,24,24,24,48,66485
transform35,2,3,dynamic,1,0,0,0,0,24,24,24,48,59657
transform36,2,3,guided,1,0,0,0,0,24,24,24,48,66403
transform37,2,4,static,1,0,0,0,0,24,24,24,48,55698
transform38,2,4,dynamic,1,0,0,0,0,24,24,24,48,61463
transform39,2,4,guided,1,0,0,0,0,24,24,24,48,57311
transform40,3,4,static,1,0,0,0,0,24,24,24,48,56853
transform41,3,4,dynamic,1,0,0,0,0,24,24,24,48,50346
transform42,3,4,guided,1,0,0,0,0,24,24,24,48,56467
