Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,864959040,100663296,100663296,864959040,64,64,64,8,156940
transform1,1,1,static,4,864959040,100663296,100663296,864959040,64,64,64,8,406778
transform2,1,1,dynamic,4,864959040,100663296,100663296,864959040,64,64,64,8,349824
transform3,1,1,guided,4,864959040,100663296,100663296,864959040,64,64,64,8,346938
transform4,1,1,static,3,864959040,100663296,100663296,864959040,64,64,64,8,364430
transform5,1,1,dynamic,3,864959040,100663296,100663296,864959040,64,64,64,8,365530
transform6,1,1,guided,3,864959040,100663296,100663296,864959040,64,64,64,8,378013
transform7,1,1,static,2,864959040,100663296,100663296,864959040,64,64,64,8,388088
transform8,1,1,dynamic,2,864959040,100663296,100663296,864959040,64,64,64,8,382616
transform9,1,1,guided,2,864959040,100663296,100663296,864959040,64,64,64,8,404459
transform10,1,1,static,1,864959040,100663296,100663296,864959040,64,64,64,8,3432625
transform11,1,1,dynamic,1,864959040,100663296,100663296,864959040,64,64,64,8,3422796
transform12,1,1,guided,1,864959040,100663296,100663296,864959040,64,64,64,8,3428631
transform13,1,2,static,3,864959040,100663296,100663296,864959040,64,64,64,8,524133
transform14,1,2,dynamic,3,864959040,100663296,100663296,864959040,64,64,64,8,519265
transform15,1,2,guided,3,864959040,100663296,100663296,864959040,64,64,64,8,529230
transform16,1,2,static,2,864959040,100663296,100663296,864959040,64,64,64,8,489515
transform17,1,2,dynamic,2,864959040,100663296,100663296,864959040,64,64,64,8,521896
transform18,1,2,guided,2,864959040,100663296,100663296,864959040,64,64,64,8,504404
transform19,1,2,static,1,864959040,100663296,100663296,864959040,64,64,64,8,490850
transform20,1,2,dynamic,1,864959040,100663296,100663296,864959040,64,64,64,8,706457
transform21,1,2,guided,1,864959040,100663296,100663296,864959040,64,64,64,8,684406
transform22,1,3,static,2,864959040,100663296,100663296,864959040,64,64,64,8,510806
transform23,1,3,dynamic,2,864959040,100663296,100663296,864959040,64,64,64,8,631115
transform24,1,3,guided,2,864959040,100663296,100663296,864959040,64,64,64,8,608691
transform25,1,3,static,1,864959040,100663296,100663296,864959040,64,64,64,8,525612
transform26,1,3,dynamic,1,864959040,100663296,100663296,864959040,64,64,64,8,496776
transform27,1,3,guided,1,864959040,100663296,100663296,864959040,64,64,64,8,493074
transform28,1,4,static,1,864959040,100663296,100663296,864959040,64,64,64,8,485850
transform29,1,4,dynamic,1,864959040,100663296,100663296,864959040,64,64,64,8,485457
transform30,1,4,guided,1,864959040,100663296,100663296,864959040,64,64,64,8,489961
transform31,2,3,static,2,864959040,100663296,100663296,864959040,64,64,64,8,388471
transform32,2,3,dynamic,2,864959040,100663296,100663296,864959040,64,64,64,8,359100
transform33,2,3,guided,2,864959040,100663296,100663296,864959040,64,64,64,8,395021
transform34,2,3,static,1,864959040,100663296,100663296,864959040,64,64,64,8,399590
transform35,2,3,dynamic,1,864959040,100663296,100663296,864959040,64,64,64,8,398833
transform36,2,3,guided,1,864959040,100663296,100663296,864959040,64,64,64,8,399392
transform37,2,4,static,1,864959040,100663296,100663296,864959040,64,64,64,8,395724
transform38,2,4,dynamic,1,864959040,100663296,100663296,864959040,64,64,64,8,398950
transform39,2,4,guided,1,864959040,100663296,100663296,864959040,64,64,64,8,356231
transform40,3,4,static,1,864959040,100663296,100663296,864959040,64,64,64,8,385365
transform41,3,4,dynamic,1,864959040,100663296,100663296,864959040,64,64,64,8,377684
transform42,3,4,guided,1,864959040,100663296,100663296,864959040,64,64,64,8,383763
