Kernel,Outer,Inner,Reduction,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_Outer,log_Inner,log_VarDecl,log_refExpr,log_intLiteral,log_floatLiteral,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
wilson_dslash_combined_swap_128_512,512,128,0,1017985,254710016,138074497,0,0,0,9654528,21626880,10616832,22020096,25559040,0,131072,6684672,2.709269962,2.107209970,6.007741381,8.406046026,8.140113472,0,0,0,6.984731049,7.334993873,7.025994948,7.342819210,7.407544540,0,5.117509928,6.825080105,6887774
wilson_dslash_combined_swap_128_640,640,128,0,1017985,254710016,138074497,0,0,0,9654528,21626880,10616832,22020096,25559040,0,131072,6684672,2.806179975,2.107209970,6.007741381,8.406046026,8.140113472,0,0,0,6.984731049,7.334993873,7.025994948,7.342819210,7.407544540,0,5.117509928,6.825080105,8516866
wilson_dslash_combined_swap_128_768,768,128,0,1017985,254710016,138074497,0,0,0,9654528,21626880,10616832,22020096,25559040,0,131072,6684672,2.885361221,2.107209970,6.007741381,8.406046026,8.140113472,0,0,0,6.984731049,7.334993873,7.025994948,7.342819210,7.407544540,0,5.117509928,6.825080105,10225809
wilson_dslash_combined_swap_128_896,896,128,0,1017985,254710016,138074497,0,0,0,9654528,21626880,10616832,22020096,25559040,0,131072,6684672,2.952308010,2.107209970,6.007741381,8.406046026,8.140113472,0,0,0,6.984731049,7.334993873,7.025994948,7.342819210,7.407544540,0,5.117509928,6.825080105,11928428
wilson_dslash_combined_swap_16_1024,1024,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,3.010299957,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,8264665
wilson_dslash_combined_swap_16_1152,1152,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,3.061452480,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,9334978
wilson_dslash_combined_swap_16_128,128,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.107209970,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,1097314
wilson_dslash_combined_swap_16_16,16,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,1.204119983,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,177046
wilson_dslash_combined_swap_16_256,256,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.408239966,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,2112263
wilson_dslash_combined_swap_16_384,384,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.584331225,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.122904960,6.439729223,6.504454553,0,4.214419940,5.921990117,3147466
