Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,48,96,48,48,123723
GPU0,static,1,3965236800,509607936,48,96,48,48,2457002
GPU1,static,1,3965236800,509607936,48,96,48,48,2468624
GPU0,static,2,3965236800,509607936,48,96,48,48,578464
GPU1,static,2,3965236800,509607936,48,96,48,48,625118
GPU0,static,3,3965236800,509607936,48,96,48,48,493448
GPU1,static,3,3965236800,509607936,48,96,48,48,576645
GPU0,static,4,3965236800,509607936,48,96,48,48,430678
GPU1,static,4,3965236800,509607936,48,96,48,48,525838
GPU0,dynamic,1,3965236800,509607936,48,96,48,48,35185306
GPU1,dynamic,1,3965236800,509607936,48,96,48,48,35237839
GPU0,dynamic,2,3965236800,509607936,48,96,48,48,2485316
GPU1,dynamic,2,3965236800,509607936,48,96,48,48,2548137
GPU0,dynamic,3,3965236800,509607936,48,96,48,48,681298
GPU1,dynamic,3,3965236800,509607936,48,96,48,48,761921
GPU0,dynamic,4,3965236800,509607936,48,96,48,48,646525
GPU1,dynamic,4,3965236800,509607936,48,96,48,48,744061
GPU0,guided,1,3965236800,509607936,48,96,48,48,35155347
GPU1,guided,1,3965236800,509607936,48,96,48,48,35231960
GPU0,guided,2,3965236800,509607936,48,96,48,48,2466511
GPU1,guided,2,3965236800,509607936,48,96,48,48,2556815
GPU0,guided,3,3965236800,509607936,48,96,48,48,662088
GPU1,guided,3,3965236800,509607936,48,96,48,48,760555
GPU0,guided,4,3965236800,509607936,48,96,48,48,629548
GPU1,guided,4,3965236800,509607936,48,96,48,48,742104
