Kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,11534336,0,0,0,9,5,0,34603009,34603009,0,0,0,0,0,0,4,0,23.45943162,0,0,3.169925001,2.321928095,0,25.04439416,25.04439416,0,0,0,0,0,0,2,0,0.021631
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,11534336,0,0,11546189,115461886,11546190,0,449857960,449857960,11546190,0,0,0,0,0,11546188,0,23.45943162,0,23.46091341,26.78284146,23.46091354,0,28.74489431,28.74489431,23.46091354,0,0,0,0,0,23.46091329,0,3.022
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,11534336,0,0,0,9,5,0,34603009,34603009,0,0,0,0,0,0,4,0,23.45943162,0,0,3.169925001,2.321928095,0,25.04439416,25.04439416,0,0,0,0,0,0,2,0,0.019039
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,11534336,0,0,11546189,115461886,11546190,0,449857960,449857960,11546190,0,0,0,0,0,11546188,0,23.45943162,0,23.46091341,26.78284146,23.46091354,0,28.74489431,28.74489431,23.46091354,0,0,0,0,0,23.46091329,0,0.166305
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,11534336,0,0,0,9,5,0,34603009,34603009,0,0,0,0,0,0,4,0,23.45943162,0,0,3.169925001,2.321928095,0,25.04439416,25.04439416,0,0,0,0,0,0,2,0,0.016977
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,131072,0,0,131370,1313696,131371,0,5106320,5106320,131371,0,0,0,0,0,131369,0,17,0,17.00327633,20.32520003,17.00328731,0,22.28385252,22.28385252,17.00328731,0,0,0,0,0,17.00326535,0,0.303837
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,131072,0,0,0,9,5,0,393217,393217,0,0,0,0,0,0,4,0,17,0,0,3.169925001,2.321928095,0,18.58496617,18.58496617,0,0,0,0,0,0,2,0,0.000816
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,131072,0,0,131370,1313696,131371,0,5106320,5106320,131371,0,0,0,0,0,131369,0,17,0,17.00327633,20.32520003,17.00328731,0,22.28385252,22.28385252,17.00328731,0,0,0,0,0,17.00326535,0,0.183526
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,131072,0,0,0,9,5,0,393217,393217,0,0,0,0,0,0,4,0,17,0,0,3.169925001,2.321928095,0,18.58496617,18.58496617,0,0,0,0,0,0,2,0,0.000422
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,131072,0,0,131370,1313696,131371,0,5106320,5106320,131371,0,0,0,0,0,131369,0,17,0,17.00327633,20.32520003,17.00328731,0,22.28385252,22.28385252,17.00328731,0,0,0,0,0,17.00326535,0,0.045292
