Kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
Kernel_2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2878,2878,1,2,37,6,1,33177608,33177608,12,7,8,2,0,0,0,5,11.49085088,11.49085088,1,5.209453366,2.584962501,0,24.98370654,24.98370654,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.535426
Kernel_3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2878,2878,1,2,37,6,1,33177612,33177612,12,7,8,2,0,0,0,5,11.49085088,11.49085088,1,5.209453366,2.584962501,0,24.98370671,24.98370671,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.532239
Kernel_4,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2878,2878,1,2,37,6,1,33177616,33177616,12,7,8,2,0,0,0,5,11.49085088,11.49085088,1,5.209453366,2.584962501,0,24.98370689,24.98370689,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.532292
Kernel_5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2878,2878,1,2,37,6,1,33177620,33177620,12,7,8,2,0,0,0,5,11.49085088,11.49085088,1,5.209453366,2.584962501,0,24.98370706,24.98370706,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.531176
Kernel_6,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2878,2878,1,2,37,6,1,33177624,33177624,12,7,8,2,0,0,0,5,11.49085088,11.49085088,1,5.209453366,2.584962501,0,24.98370724,24.98370724,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.532015
Kernel_7,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2878,2878,1,2,37,6,1,33177628,33177628,12,7,8,2,0,0,0,5,11.49085088,11.49085088,1,5.209453366,2.584962501,0,24.98370741,24.98370741,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.529571
Kernel_1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2910,2910,1,2,37,6,1,33918980,33918980,12,7,8,2,0,0,0,5,11.50680344,11.50680344,1,5.209453366,2.584962501,0,25.01558945,25.01558945,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.687352
Kernel_2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2910,2910,1,2,37,6,1,33918984,33918984,12,7,8,2,0,0,0,5,11.50680344,11.50680344,1,5.209453366,2.584962501,0,25.01558962,25.01558962,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.547076
Kernel_3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2910,2910,1,2,37,6,1,33918988,33918988,12,7,8,2,0,0,0,5,11.50680344,11.50680344,1,5.209453366,2.584962501,0,25.01558979,25.01558979,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.543973
Kernel_4,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2910,2910,1,2,37,6,1,33918992,33918992,12,7,8,2,0,0,0,5,11.50680344,11.50680344,1,5.209453366,2.584962501,0,25.01558996,25.01558996,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.544136
Kernel_5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2910,2910,1,2,37,6,1,33918996,33918996,12,7,8,2,0,0,0,5,11.50680344,11.50680344,1,5.209453366,2.584962501,0,25.01559013,25.01559013,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.543578
Kernel_6,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2910,2910,1,2,37,6,1,33919000,33919000,12,7,8,2,0,0,0,5,11.50680344,11.50680344,1,5.209453366,2.584962501,0,25.0155903,25.0155903,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.54368
Kernel_7,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2910,2910,1,2,37,6,1,33919004,33919004,12,7,8,2,0,0,0,5,11.50680344,11.50680344,1,5.209453366,2.584962501,0,25.01559047,25.01559047,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.547098
Kernel_1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2942,2942,1,2,37,6,1,34668548,34668548,12,7,8,2,0,0,0,5,11.52258153,11.52258153,1,5.209453366,2.584962501,0,25.04712408,25.04712408,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.724097
Kernel_2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2942,2942,1,2,37,6,1,34668552,34668552,12,7,8,2,0,0,0,5,11.52258153,11.52258153,1,5.209453366,2.584962501,0,25.04712425,25.04712425,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.558874
Kernel_3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2942,2942,1,2,37,6,1,34668556,34668556,12,7,8,2,0,0,0,5,11.52258153,11.52258153,1,5.209453366,2.584962501,0,25.04712441,25.04712441,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.556064
Kernel_4,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2942,2942,1,2,37,6,1,34668560,34668560,12,7,8,2,0,0,0,5,11.52258153,11.52258153,1,5.209453366,2.584962501,0,25.04712458,25.04712458,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.556146
Kernel_5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2942,2942,1,2,37,6,1,34668564,34668564,12,7,8,2,0,0,0,5,11.52258153,11.52258153,1,5.209453366,2.584962501,0,25.04712474,25.04712474,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.555481
Kernel_6,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2942,2942,1,2,37,6,1,34668568,34668568,12,7,8,2,0,0,0,5,11.52258153,11.52258153,1,5.209453366,2.584962501,0,25.04712491,25.04712491,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.555541
Kernel_7,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2942,2942,1,2,37,6,1,34668572,34668572,12,7,8,2,0,0,0,5,11.52258153,11.52258153,1,5.209453366,2.584962501,0,25.04712508,25.04712508,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.553644
