kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_900_2400_3400,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,900,3400,0,6800,81620400,24490201,3400,82560000,24480000,24486800,8160000,16326800,8160000,0,0,0,8166800,9.813781191,11.73131903,12.73131903,26.28242645,24.54570128,11.73131903,26.29893963,24.54510022,24.54550092,22.96013772,23.96073872,22.96013772,0,0,0,22.96133947,1.5115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_3700_1700_1200,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3700,1200,0,2400,20407200,6123601,1200,66640000,35520000,6122400,2040000,4082400,2040000,0,0,0,2042400,11.85330956,10.22881869,11.22881869,24.28257491,22.54594885,10.22881869,25.98988506,25.08212825,22.54566587,20.96013772,21.96098612,20.96013772,0,0,0,20.96183401,1.5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_2900_900_2900,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2900,2900,0,5800,26117400,7838701,2900,41760000,67280000,7835800,2610000,5225800,2610000,0,0,0,2615800,11.50183718,11.50183718,12.50183718,24.63850795,22.90218317,11.50183718,25.31561838,26.00367437,22.90164914,21.31561838,22.31722048,21.31561838,0,0,0,21.31882081,1.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_3700_1200_1700,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3700,1700,0,3400,20410200,6125101,1700,51840000,50320000,6123400,2040000,4083400,2040000,0,0,0,2043400,11.85330956,10.73131903,11.73131903,24.28278698,22.5463022,10.73131903,25.62756238,25.58462859,22.5459015,20.96013772,21.96133947,20.96013772,0,0,0,20.96254021,1.6132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1250_2750_2250,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1250,2250,0,4500,61888500,18569251,2250,77000000,22500000,18567000,6187500,12379500,6187500,0,0,0,6192000,10.28771238,11.13570929,12.13570929,25.88316802,24.14641229,11.13570929,26.19835511,24.42342167,24.14623739,22.56092519,23.56144971,22.56092519,0,0,0,22.56197404,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1900_1900_2400,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1900,2400,0,4800,45614400,13687201,2400,65360000,36480000,13684800,4560000,9124800,4560000,0,0,0,4564800,10.8917837,11.22881869,12.22881869,25.442986,23.70632411,11.22881869,25.96190465,25.12060239,23.70607101,22.12060239,23.12136151,22.12060239,0,0,0,22.12212022,1.7447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1750_1750_2750,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1750,2750,0,5500,48141500,14445751,2750,63000000,38500000,14443000,4812500,9630500,4812500,0,0,0,4818000,10.77313921,11.4252159,12.4252159,25.52077776,23.78414187,11.4252159,25.90884849,25.19835511,23.7838671,22.19835511,23.19917927,22.19835511,0,0,0,22.20000296,1.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_3900_2400_900,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3900,900,0,1800,21605400,6482701,900,92160000,28080000,6481800,2160000,4321800,2160000,0,0,0,2161800,11.92925841,9.813781191,10.81378119,24.36488861,22.6281636,9.813781191,26.45763738,24.7430396,22.62796308,21.04259988,22.04320088,21.04259988,0,0,0,21.04380163,1.8173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1900_1400_3400,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1900,3400,0,6800,47620400,14290201,3400,59360000,51680000,14286800,4760000,9526800,4760000,0,0,0,4766800,10.8917837,11.73131903,12.73131903,25.5050764,23.76852287,11.73131903,25.82298776,25.62310273,23.76817948,22.18253014,23.18356027,22.18253014,0,0,0,22.18458967,1.8616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1700_1700_3200,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1700,3200,0,6400,54419200,16329601,3200,66640000,43520000,16326400,5440000,10886400,5440000,0,0,0,5446400,10.73131903,11.64385619,12.64385619,25.69761241,23.9609862,11.64385619,25.98988506,25.37517522,23.96070337,22.37517522,23.37602362,22.37517522,0,0,0,22.37687151,1.8891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_3250_1250_2250,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3250,2250,0,4500,28138500,8444251,2250,55000000,58500000,8442000,2812500,5629500,2812500,0,0,0,2817000,11.666224,11.13570929,12.13570929,24.74604209,23.00953803,11.13570929,25.71292828,25.80193329,23.0091534,21.42342167,22.42457536,21.42342167,0,0,0,21.42572813,1.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1750_1250_4250,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1750,4250,0,8500,53150500,15950251,4250,60000000,59500000,15946000,5312500,10633500,5312500,0,0,0,5321000,10.77313921,12.05324713,13.05324713,25.66357993,23.92707579,12.05324713,25.83845916,25.82638633,23.92669124,22.34095951,23.3421132,22.34095951,0,0,0,22.34326597,2.0349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_2200_1200_3700,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2200,3700,0,7400,44422200,13331101,3700,56640000,65120000,13327400,4440000,8887400,4440000,0,0,0,4447400,11.10328781,11.85330956,12.85330956,25.40477751,23.6682926,11.85330956,25.75531793,25.95659736,23.66789202,22.08212825,23.08332999,22.08212825,0,0,0,22.08453074,2.0912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_3250_1750_1750,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3250,1750,0,3500,30635500,9192751,1750,70000000,45500000,9191000,3062500,6128500,3062500,0,0,0,3066000,11.666224,10.77313921,11.77313921,24.86870106,23.13206523,10.77313921,26.06085159,25.43936321,23.13179041,21.54627841,22.54710258,21.54627841,0,0,0,21.54792627,2.1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1500_2000_3500,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1500,3500,0,7000,70021000,21010501,3500,80000000,42000000,21007000,7000000,14007000,7000000,0,0,0,7007000,10.55074679,11.77313921,12.77313921,26.06128433,24.32460723,11.77313921,26.25349666,25.32388599,24.32436681,22.73892349,23.73964466,22.73892349,0,0,0,22.74036547,2.1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_3000_3500_1000,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3000,1000,0,2000,35006000,10503001,1000,112000000,24000000,10502000,3500000,7002000,3500000,0,0,0,3502000,11.55074679,9.965784285,10.96578428,25.06109888,23.32429827,9.965784285,26.73892349,24.51653107,23.32416076,21.73892349,22.73933563,21.73892349,0,0,0,21.73974765,2.1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_2400_2400_1900,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2400,1900,0,3800,45611400,13685701,1900,82560000,36480000,13683800,4560000,9123800,4560000,0,0,0,4563800,11.22881869,10.8917837,11.8917837,25.44289112,23.706166,10.8917837,26.29893963,25.12060239,23.70596559,22.12060239,23.12120339,22.12060239,0,0,0,22.12180414,2.2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_2750_1750_2250,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2750,2250,0,4500,39388500,11819251,2250,70000000,49500000,11817000,3937500,7879500,3937500,0,0,0,3942000,11.4252159,11.13570929,12.13570929,25.23127114,23.49463528,11.13570929,26.06085159,25.56092519,23.49436049,21.90884849,22.90967265,21.90884849,0,0,0,21.91049635,2.3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_2400_1400_3400,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2400,3400,0,6800,47620400,14290201,3400,64960000,65280000,14286800,4760000,9526800,4760000,0,0,0,4766800,11.22881869,11.73131903,12.73131903,25.5050764,23.76852287,11.73131903,25.9530483,25.96013772,23.76817948,22.18253014,23.18356027,22.18253014,0,0,0,22.18458967,2.3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_2000_3000_2000,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2000,2000,0,4000,60012000,18006001,2000,96000000,32000000,18004000,6000000,12004000,6000000,0,0,0,6004000,10.96578428,10.96578428,11.96578428,25.83874768,24.10197447,10.96578428,26.51653107,24.93156857,24.10181413,22.51653107,23.51701189,22.51653107,0,0,0,22.51749255,2.3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_3000_1000_4000,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,3000,4000,0,8000,40024000,12012001,4000,56000000,96000000,12008000,4000000,8008000,4000000,0,0,0,4008000,11.55074679,11.96578428,12.96578428,25.25436202,23.51797316,11.96578428,25.73892349,26.51653107,23.51749255,21.93156857,22.93301054,21.93156857,0,0,0,21.93445108,2.4144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_1700_2200_3200,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,1700,3200,0,6400,70419200,21129601,3200,86240000,43520000,21126400,7040000,14086400,7040000,0,0,0,7046400,10.73131903,11.64385619,12.64385619,26.0694655,24.33276219,11.64385619,26.36185384,25.37517522,24.33254361,22.747144,23.74779962,22.747144,0,0,0,22.74845494,2.4585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute_parallel_for_collapse_2350_2350_2150,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,2350,2150,0,4300,50537900,15163951,2150,84600000,40420000,15161800,5052500,10109300,5052500,0,0,0,5056800,11.19844504,11.07012094,12.07012094,25.59086238,23.85414236,11.07012094,26.33415433,25.26856599,23.8539377,22.26856599,23.26917977,22.26856599,0,0,0,22.26979329,2.4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
