Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,1,16,16,8,3,3,229588,0.2296
GPU0,static,1,98304,3072,1000,1,1,16,16,8,3,3,92929755,92.9298
GPU1,static,1,98304,3072,1000,1,1,16,16,8,3,3,187431729,187.4317
GPU0,dynamic,1,98304,3072,1000,1,1,16,16,8,3,3,91997688,91.9977
GPU1,dynamic,1,98304,3072,1000,1,1,16,16,8,3,3,94436731,94.4367
GPU0,guided,1,98304,3072,1000,1,1,16,16,8,3,3,92837158,92.8372
GPU1,guided,1,98304,3072,1000,1,1,16,16,8,3,3,94436261,94.4363
GPU0,static,2,98304,3072,1000,1,1,16,16,8,3,3,92928574,92.9286
GPU1,static,2,98304,3072,1000,1,1,16,16,8,3,3,94439610,94.4396
GPU0,dynamic,2,98304,3072,1000,1,1,16,16,8,3,3,92925083,92.9251
GPU1,dynamic,2,98304,3072,1000,1,1,16,16,8,3,3,94436233,94.4362
GPU0,guided,2,98304,3072,1000,1,1,16,16,8,3,3,92925197,92.9252
GPU1,guided,2,98304,3072,1000,1,1,16,16,8,3,3,94436211,94.4362
GPU0,static,3,98304,3072,1000,1,1,16,16,8,3,3,5832145,5.8321
GPU1,static,3,98304,3072,1000,1,1,16,16,8,3,3,5926516,5.9265
GPU0,dynamic,3,98304,3072,1000,1,1,16,16,8,3,3,5831861,5.8319
GPU1,dynamic,3,98304,3072,1000,1,1,16,16,8,3,3,5926286,5.9263
GPU0,guided,3,98304,3072,1000,1,1,16,16,8,3,3,5830505,5.8305
GPU1,guided,3,98304,3072,1000,1,1,16,16,8,3,3,5926268,5.9263
GPU0,static,4,98304,3072,1000,1,1,16,16,8,3,3,378834,0.3788
GPU1,static,4,98304,3072,1000,1,1,16,16,8,3,3,394721,0.3947
GPU0,dynamic,4,98304,3072,1000,1,1,16,16,8,3,3,378257,0.3783
GPU1,dynamic,4,98304,3072,1000,1,1,16,16,8,3,3,394203,0.3942
GPU0,guided,4,98304,3072,1000,1,1,16,16,8,3,3,380823,0.3808
GPU1,guided,4,98304,3072,1000,1,1,16,16,8,3,3,385835,0.3858
