Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,10,1,1,48,80,4,3,3,20722,0.0207
GPU0,static,1,737280,46080,10,1,1,48,80,4,3,3,7108157,7.1082
GPU1,static,1,737280,46080,10,1,1,48,80,4,3,3,14384637,14.3846
GPU0,dynamic,1,737280,46080,10,1,1,48,80,4,3,3,7153404,7.1534
GPU1,dynamic,1,737280,46080,10,1,1,48,80,4,3,3,7229944,7.2299
GPU0,guided,1,737280,46080,10,1,1,48,80,4,3,3,7106570,7.1066
GPU1,guided,1,737280,46080,10,1,1,48,80,4,3,3,7222533,7.2225
GPU0,static,2,737280,46080,10,1,1,48,80,4,3,3,7107164,7.1072
GPU1,static,2,737280,46080,10,1,1,48,80,4,3,3,7222895,7.2229
GPU0,dynamic,2,737280,46080,10,1,1,48,80,4,3,3,7106350,7.1063
GPU1,dynamic,2,737280,46080,10,1,1,48,80,4,3,3,7221492,7.2215
GPU0,guided,2,737280,46080,10,1,1,48,80,4,3,3,7108786,7.1088
GPU1,guided,2,737280,46080,10,1,1,48,80,4,3,3,7221942,7.2219
GPU0,static,3,737280,46080,10,1,1,48,80,4,3,3,154766,0.1548
GPU1,static,3,737280,46080,10,1,1,48,80,4,3,3,156487,0.1565
GPU0,dynamic,3,737280,46080,10,1,1,48,80,4,3,3,152693,0.1527
GPU1,dynamic,3,737280,46080,10,1,1,48,80,4,3,3,155291,0.1553
GPU0,guided,3,737280,46080,10,1,1,48,80,4,3,3,153359,0.1534
GPU1,guided,3,737280,46080,10,1,1,48,80,4,3,3,155770,0.1558
GPU1,static,4,737280,46080,10,1,1,48,80,4,3,3,2723,0.0027
GPU0,static,4,737280,46080,10,1,1,48,80,4,3,3,2826,0.0028
GPU1,dynamic,4,737280,46080,10,1,1,48,80,4,3,3,2709,0.0027
GPU0,dynamic,4,737280,46080,10,1,1,48,80,4,3,3,2845,0.0028
GPU1,guided,4,737280,46080,10,1,1,48,80,4,3,3,2746,0.0027
GPU0,guided,4,737280,46080,10,1,1,48,80,4,3,3,2845,0.0028
