Device,transform,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,,0,0,8,16,256,768,8690099
GPU0,combined,11735818560,1207959552,8,16,256,768,731757
GPU0,collapse,11735818560,1207959552,8,16,256,768,191873
GPU0,split,11735818560,1207959552,8,16,256,768,117401
GPU0,combined_swap,11735818560,1207959552,8,16,256,768,2185884
GPU0,collapse_swap,11735818560,1207959552,8,16,256,768,262842
GPU0,split_swap,11735818560,1207959552,8,16,256,768,130844
