Device,transform,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,,0,0,8,16,128,384,2167376
GPU0,combined,2951864640,301989888,8,16,128,384,307334
GPU0,collapse,2951864640,301989888,8,16,128,384,16400
GPU0,split,2951864640,301989888,8,16,128,384,18434
GPU0,combined_swap,2951864640,301989888,8,16,128,384,801633
GPU0,collapse_swap,2951864640,301989888,8,16,128,384,24757
GPU0,split_swap,2951864640,301989888,8,16,128,384,23671
