Device,transform,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,,0,0,8,16,896,128,4828455
GPU0,combined,6875668800,704643072,8,16,896,128,2552167
GPU0,collapse,6875668800,704643072,8,16,896,128,110989
GPU0,split,6875668800,704643072,8,16,896,128,78834
GPU0,combined_swap,6875668800,704643072,8,16,896,128,367084
GPU0,collapse_swap,6875668800,704643072,8,16,896,128,119625
GPU0,split_swap,6875668800,704643072,8,16,896,128,72149
