Device,transform,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,,0,0,8,16,16,1152,943679
GPU0,combined,1175029056,113246208,8,16,16,1152,19692
GPU0,collapse,1175029056,113246208,8,16,16,1152,15592
GPU0,split,1175029056,113246208,8,16,16,1152,16801
GPU0,combined_swap,1175029056,113246208,8,16,16,1152,428602
GPU0,collapse_swap,1175029056,113246208,8,16,16,1152,15485
GPU0,split_swap,1175029056,113246208,8,16,16,1152,67210
