Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,10,1,1,96,96,8,3,3,153393,0.1534
GPU0,static,1,3538944,110592,10,1,1,96,96,8,3,3,40649578,40.6496
GPU3,static,1,3538944,110592,10,1,1,96,96,8,3,3,81159409,81.1594
GPU4,static,1,3538944,110592,10,1,1,96,96,8,3,3,81215613,81.2156
GPU2,static,1,3538944,110592,10,1,1,96,96,8,3,3,81288675,81.2887
GPU5,static,1,3538944,110592,10,1,1,96,96,8,3,3,81295217,81.2952
GPU1,static,1,3538944,110592,10,1,1,96,96,8,3,3,81379849,81.3798
GPU4,dynamic,1,3538944,110592,10,1,1,96,96,8,3,3,40448774,40.4488
GPU0,dynamic,1,3538944,110592,10,1,1,96,96,8,3,3,40478660,40.4787
GPU3,dynamic,1,3538944,110592,10,1,1,96,96,8,3,3,40487113,40.4871
GPU1,dynamic,1,3538944,110592,10,1,1,96,96,8,3,3,40544375,40.5444
GPU5,dynamic,1,3538944,110592,10,1,1,96,96,8,3,3,40607951,40.6080
GPU2,dynamic,1,3538944,110592,10,1,1,96,96,8,3,3,40609160,40.6092
GPU0,guided,1,3538944,110592,10,1,1,96,96,8,3,3,40451550,40.4515
GPU4,guided,1,3538944,110592,10,1,1,96,96,8,3,3,40451758,40.4518
GPU3,guided,1,3538944,110592,10,1,1,96,96,8,3,3,40498940,40.4989
GPU1,guided,1,3538944,110592,10,1,1,96,96,8,3,3,40503290,40.5033
GPU2,guided,1,3538944,110592,10,1,1,96,96,8,3,3,40608645,40.6086
GPU5,guided,1,3538944,110592,10,1,1,96,96,8,3,3,40612281,40.6123
GPU0,static,2,3538944,110592,10,1,1,96,96,8,3,3,40447686,40.4477
GPU4,static,2,3538944,110592,10,1,1,96,96,8,3,3,40449026,40.4490
GPU3,static,2,3538944,110592,10,1,1,96,96,8,3,3,40491378,40.4914
GPU1,static,2,3538944,110592,10,1,1,96,96,8,3,3,40499006,40.4990
GPU2,static,2,3538944,110592,10,1,1,96,96,8,3,3,40592426,40.5924
GPU5,static,2,3538944,110592,10,1,1,96,96,8,3,3,40615083,40.6151
GPU4,dynamic,2,3538944,110592,10,1,1,96,96,8,3,3,40450467,40.4505
GPU0,dynamic,2,3538944,110592,10,1,1,96,96,8,3,3,40450674,40.4507
GPU3,dynamic,2,3538944,110592,10,1,1,96,96,8,3,3,40493808,40.4938
GPU1,dynamic,2,3538944,110592,10,1,1,96,96,8,3,3,40498109,40.4981
GPU2,dynamic,2,3538944,110592,10,1,1,96,96,8,3,3,40586642,40.5866
GPU5,dynamic,2,3538944,110592,10,1,1,96,96,8,3,3,40615089,40.6151
GPU4,guided,2,3538944,110592,10,1,1,96,96,8,3,3,40452841,40.4528
GPU0,guided,2,3538944,110592,10,1,1,96,96,8,3,3,40453049,40.4530
GPU3,guided,2,3538944,110592,10,1,1,96,96,8,3,3,40497421,40.4974
GPU1,guided,2,3538944,110592,10,1,1,96,96,8,3,3,40497634,40.4976
GPU2,guided,2,3538944,110592,10,1,1,96,96,8,3,3,40599781,40.5998
