Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,1,32,1,2,3,3,33144,0.0331
GPU0,static,1,3072,384,1000,1,1,32,1,2,3,3,3708667,3.7087
GPU4,static,1,3072,384,1000,1,1,32,1,2,3,3,7550600,7.5506
GPU2,static,1,3072,384,1000,1,1,32,1,2,3,3,7551381,7.5514
GPU1,static,1,3072,384,1000,1,1,32,1,2,3,3,7552045,7.5520
GPU5,static,1,3072,384,1000,1,1,32,1,2,3,3,7557591,7.5576
GPU3,static,1,3072,384,1000,1,1,32,1,2,3,3,7573364,7.5734
GPU4,dynamic,1,3072,384,1000,1,1,32,1,2,3,3,3708438,3.7084
GPU3,dynamic,1,3072,384,1000,1,1,32,1,2,3,3,3708505,3.7085
GPU0,dynamic,1,3072,384,1000,1,1,32,1,2,3,3,3708670,3.7087
GPU2,dynamic,1,3072,384,1000,1,1,32,1,2,3,3,3709051,3.7091
GPU1,dynamic,1,3072,384,1000,1,1,32,1,2,3,3,3709742,3.7097
GPU5,dynamic,1,3072,384,1000,1,1,32,1,2,3,3,3715209,3.7152
GPU4,guided,1,3072,384,1000,1,1,32,1,2,3,3,3708472,3.7085
GPU3,guided,1,3072,384,1000,1,1,32,1,2,3,3,3708609,3.7086
GPU2,guided,1,3072,384,1000,1,1,32,1,2,3,3,3708667,3.7087
GPU0,guided,1,3072,384,1000,1,1,32,1,2,3,3,3708701,3.7087
GPU1,guided,1,3072,384,1000,1,1,32,1,2,3,3,3709398,3.7094
GPU5,guided,1,3072,384,1000,1,1,32,1,2,3,3,3715721,3.7157
GPU4,static,2,3072,384,1000,1,1,32,1,2,3,3,3708399,3.7084
GPU0,static,2,3072,384,1000,1,1,32,1,2,3,3,3708591,3.7086
GPU2,static,2,3072,384,1000,1,1,32,1,2,3,3,3708642,3.7086
GPU3,static,2,3072,384,1000,1,1,32,1,2,3,3,3708882,3.7089
GPU1,static,2,3072,384,1000,1,1,32,1,2,3,3,3709323,3.7093
GPU5,static,2,3072,384,1000,1,1,32,1,2,3,3,3715718,3.7157
GPU3,dynamic,2,3072,384,1000,1,1,32,1,2,3,3,3708523,3.7085
GPU0,dynamic,2,3072,384,1000,1,1,32,1,2,3,3,3708616,3.7086
GPU2,dynamic,2,3072,384,1000,1,1,32,1,2,3,3,3708652,3.7087
GPU4,dynamic,2,3072,384,1000,1,1,32,1,2,3,3,3708968,3.7090
GPU1,dynamic,2,3072,384,1000,1,1,32,1,2,3,3,3709323,3.7093
GPU5,dynamic,2,3072,384,1000,1,1,32,1,2,3,3,3715985,3.7160
GPU4,guided,2,3072,384,1000,1,1,32,1,2,3,3,3708434,3.7084
GPU3,guided,2,3072,384,1000,1,1,32,1,2,3,3,3708535,3.7085
GPU0,guided,2,3072,384,1000,1,1,32,1,2,3,3,3708636,3.7086
GPU2,guided,2,3072,384,1000,1,1,32,1,2,3,3,3708686,3.7087
GPU1,guided,2,3072,384,1000,1,1,32,1,2,3,3,3709325,3.7093
GPU5,guided,2,3072,384,1000,1,1,32,1,2,3,3,3716509,3.7165
GPU4,static,3,3072,384,1000,1,1,32,1,2,3,3,116033,0.1160
GPU3,static,3,3072,384,1000,1,1,32,1,2,3,3,116042,0.1160
GPU0,static,3,3072,384,1000,1,1,32,1,2,3,3,116045,0.1160
GPU2,static,3,3072,384,1000,1,1,32,1,2,3,3,116050,0.1161
GPU1,static,3,3072,384,1000,1,1,32,1,2,3,3,116070,0.1161
GPU5,static,3,3072,384,1000,1,1,32,1,2,3,3,116293,0.1163
GPU0,dynamic,3,3072,384,1000,1,1,32,1,2,3,3,116175,0.1162
GPU3,dynamic,3,3072,384,1000,1,1,32,1,2,3,3,116176,0.1162
GPU4,dynamic,3,3072,384,1000,1,1,32,1,2,3,3,116180,0.1162
GPU1,dynamic,3,3072,384,1000,1,1,32,1,2,3,3,116182,0.1162
GPU2,dynamic,3,3072,384,1000,1,1,32,1,2,3,3,116185,0.1162
GPU5,dynamic,3,3072,384,1000,1,1,32,1,2,3,3,116437,0.1164
GPU0,guided,3,3072,384,1000,1,1,32,1,2,3,3,116171,0.1162
GPU3,guided,3,3072,384,1000,1,1,32,1,2,3,3,116173,0.1162
