Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,10,1,32,96,48,8,3,3,1152726,1.1527
GPU0,static,1,56623104,1769472,10,1,32,96,48,8,3,3,647503609,647.5036
GPU1,static,1,56623104,1769472,10,1,32,96,48,8,3,3,1294677859,1294.6779
GPU5,static,1,56623104,1769472,10,1,32,96,48,8,3,3,1294706801,1294.7068
GPU3,static,1,56623104,1769472,10,1,32,96,48,8,3,3,1294716102,1294.7161
GPU4,static,1,56623104,1769472,10,1,32,96,48,8,3,3,1294804220,1294.8042
GPU2,static,1,56623104,1769472,10,1,32,96,48,8,3,3,1295118251,1295.1183
GPU1,dynamic,1,56623104,1769472,10,1,32,96,48,8,3,3,647121196,647.1212
GPU3,dynamic,1,56623104,1769472,10,1,32,96,48,8,3,3,647156054,647.1561
GPU5,dynamic,1,56623104,1769472,10,1,32,96,48,8,3,3,647159800,647.1598
GPU4,dynamic,1,56623104,1769472,10,1,32,96,48,8,3,3,647282701,647.2827
GPU0,dynamic,1,56623104,1769472,10,1,32,96,48,8,3,3,647316209,647.3162
GPU2,dynamic,1,56623104,1769472,10,1,32,96,48,8,3,3,647498353,647.4984
GPU1,guided,1,56623104,1769472,10,1,32,96,48,8,3,3,647123361,647.1234
GPU3,guided,1,56623104,1769472,10,1,32,96,48,8,3,3,647155908,647.1559
GPU5,guided,1,56623104,1769472,10,1,32,96,48,8,3,3,647159763,647.1598
GPU0,guided,1,56623104,1769472,10,1,32,96,48,8,3,3,647273464,647.2735
GPU4,guided,1,56623104,1769472,10,1,32,96,48,8,3,3,647369397,647.3694
GPU2,guided,1,56623104,1769472,10,1,32,96,48,8,3,3,647460965,647.4610
GPU1,static,2,56623104,1769472,10,1,32,96,48,8,3,3,20427583,20.4276
GPU3,static,2,56623104,1769472,10,1,32,96,48,8,3,3,20431114,20.4311
GPU5,static,2,56623104,1769472,10,1,32,96,48,8,3,3,20437056,20.4371
GPU4,static,2,56623104,1769472,10,1,32,96,48,8,3,3,20439388,20.4394
GPU0,static,2,56623104,1769472,10,1,32,96,48,8,3,3,20439548,20.4395
GPU2,static,2,56623104,1769472,10,1,32,96,48,8,3,3,20447807,20.4478
GPU5,dynamic,2,56623104,1769472,10,1,32,96,48,8,3,3,20416208,20.4162
GPU1,dynamic,2,56623104,1769472,10,1,32,96,48,8,3,3,20417075,20.4171
GPU3,dynamic,2,56623104,1769472,10,1,32,96,48,8,3,3,20423764,20.4238
GPU4,dynamic,2,56623104,1769472,10,1,32,96,48,8,3,3,20427966,20.4280
GPU0,dynamic,2,56623104,1769472,10,1,32,96,48,8,3,3,20428506,20.4285
GPU2,dynamic,2,56623104,1769472,10,1,32,96,48,8,3,3,20436975,20.4370
GPU1,guided,2,56623104,1769472,10,1,32,96,48,8,3,3,20417771,20.4178
GPU0,guided,2,56623104,1769472,10,1,32,96,48,8,3,3,20421555,20.4216
GPU5,guided,2,56623104,1769472,10,1,32,96,48,8,3,3,20423057,20.4231
GPU3,guided,2,56623104,1769472,10,1,32,96,48,8,3,3,20425870,20.4259
GPU4,guided,2,56623104,1769472,10,1,32,96,48,8,3,3,20427861,20.4279
GPU2,guided,2,56623104,1769472,10,1,32,96,48,8,3,3,20432141,20.4321
GPU2,static,3,56623104,1769472,10,1,32,96,48,8,3,3,235239,0.2352
GPU3,static,3,56623104,1769472,10,1,32,96,48,8,3,3,241041,0.2410
GPU4,static,3,56623104,1769472,10,1,32,96,48,8,3,3,241755,0.2418
GPU5,static,3,56623104,1769472,10,1,32,96,48,8,3,3,242450,0.2424
GPU1,static,3,56623104,1769472,10,1,32,96,48,8,3,3,242761,0.2428
GPU0,static,3,56623104,1769472,10,1,32,96,48,8,3,3,242848,0.2428
GPU3,dynamic,3,56623104,1769472,10,1,32,96,48,8,3,3,234692,0.2347
GPU2,dynamic,3,56623104,1769472,10,1,32,96,48,8,3,3,237218,0.2372
GPU5,dynamic,3,56623104,1769472,10,1,32,96,48,8,3,3,239968,0.2400
GPU1,dynamic,3,56623104,1769472,10,1,32,96,48,8,3,3,241369,0.2414
GPU4,dynamic,3,56623104,1769472,10,1,32,96,48,8,3,3,241533,0.2415
GPU0,dynamic,3,56623104,1769472,10,1,32,96,48,8,3,3,241999,0.2420
GPU3,guided,3,56623104,1769472,10,1,32,96,48,8,3,3,236797,0.2368
GPU4,guided,3,56623104,1769472,10,1,32,96,48,8,3,3,237753,0.2378
GPU5,guided,3,56623104,1769472,10,1,32,96,48,8,3,3,239774,0.2398
GPU2,guided,3,56623104,1769472,10,1,32,96,48,8,3,3,241179,0.2412
GPU1,guided,3,56623104,1769472,10,1,32,96,48,8,3,3,241683,0.2417
GPU0,guided,3,56623104,1769472,10,1,32,96,48,8,3,3,241919,0.2419
GPU2,static,4,56623104,1769472,10,1,32,96,48,8,3,3,44314,0.0443
GPU1,static,4,56623104,1769472,10,1,32,96,48,8,3,3,47984,0.0480
GPU5,static,4,56623104,1769472,10,1,32,96,48,8,3,3,50727,0.0507
GPU4,static,4,56623104,1769472,10,1,32,96,48,8,3,3,51264,0.0513
GPU0,static,4,56623104,1769472,10,1,32,96,48,8,3,3,51704,0.0517
GPU3,static,4,56623104,1769472,10,1,32,96,48,8,3,3,51869,0.0519
GPU0,dynamic,4,56623104,1769472,10,1,32,96,48,8,3,3,42748,0.0427
GPU2,dynamic,4,56623104,1769472,10,1,32,96,48,8,3,3,43652,0.0437
