Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,1,16,1,2,3,3,29814,0.0298
GPU0,static,1,1536,192,1000,1,1,16,1,2,3,3,1860580,1.8606
GPU5,static,1,1536,192,1000,1,1,16,1,2,3,3,3848450,3.8485
GPU4,static,1,1536,192,1000,1,1,16,1,2,3,3,3848459,3.8485
GPU1,static,1,1536,192,1000,1,1,16,1,2,3,3,3852231,3.8522
GPU3,static,1,1536,192,1000,1,1,16,1,2,3,3,3858312,3.8583
GPU2,static,1,1536,192,1000,1,1,16,1,2,3,3,3872794,3.8728
GPU5,dynamic,1,1536,192,1000,1,1,16,1,2,3,3,1854376,1.8544
GPU4,dynamic,1,1536,192,1000,1,1,16,1,2,3,3,1854448,1.8544
GPU2,dynamic,1,1536,192,1000,1,1,16,1,2,3,3,1856216,1.8562
GPU1,dynamic,1,1536,192,1000,1,1,16,1,2,3,3,1858132,1.8581
GPU0,dynamic,1,1536,192,1000,1,1,16,1,2,3,3,1860898,1.8609
GPU3,dynamic,1,1536,192,1000,1,1,16,1,2,3,3,1864162,1.8642
GPU5,guided,1,1536,192,1000,1,1,16,1,2,3,3,1854393,1.8544
GPU4,guided,1,1536,192,1000,1,1,16,1,2,3,3,1854427,1.8544
GPU2,guided,1,1536,192,1000,1,1,16,1,2,3,3,1857370,1.8574
GPU1,guided,1,1536,192,1000,1,1,16,1,2,3,3,1857917,1.8579
GPU0,guided,1,1536,192,1000,1,1,16,1,2,3,3,1860830,1.8608
GPU3,guided,1,1536,192,1000,1,1,16,1,2,3,3,1864115,1.8641
GPU5,static,2,1536,192,1000,1,1,16,1,2,3,3,1854427,1.8544
GPU4,static,2,1536,192,1000,1,1,16,1,2,3,3,1854429,1.8544
GPU2,static,2,1536,192,1000,1,1,16,1,2,3,3,1857711,1.8577
GPU1,static,2,1536,192,1000,1,1,16,1,2,3,3,1858074,1.8581
GPU0,static,2,1536,192,1000,1,1,16,1,2,3,3,1860553,1.8606
GPU3,static,2,1536,192,1000,1,1,16,1,2,3,3,1864043,1.8640
