Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,100,96,64,1,16,4,3,3,283313,0.2833
GPU0,static,1,18874368,1179648,100,96,64,1,16,4,3,3,23470212,23.4702
GPU4,static,1,18874368,1179648,100,96,64,1,16,4,3,3,46786266,46.7863
GPU1,static,1,18874368,1179648,100,96,64,1,16,4,3,3,46791406,46.7914
GPU3,static,1,18874368,1179648,100,96,64,1,16,4,3,3,46858520,46.8585
GPU2,static,1,18874368,1179648,100,96,64,1,16,4,3,3,46867949,46.8679
GPU5,static,1,18874368,1179648,100,96,64,1,16,4,3,3,46913502,46.9135
GPU4,dynamic,1,18874368,1179648,100,96,64,1,16,4,3,3,23245486,23.2455
GPU1,dynamic,1,18874368,1179648,100,96,64,1,16,4,3,3,23258951,23.2590
GPU3,dynamic,1,18874368,1179648,100,96,64,1,16,4,3,3,23344385,23.3444
GPU0,dynamic,1,18874368,1179648,100,96,64,1,16,4,3,3,23345867,23.3459
GPU2,dynamic,1,18874368,1179648,100,96,64,1,16,4,3,3,23351463,23.3515
GPU5,dynamic,1,18874368,1179648,100,96,64,1,16,4,3,3,23380912,23.3809
GPU4,guided,1,18874368,1179648,100,96,64,1,16,4,3,3,23251776,23.2518
GPU1,guided,1,18874368,1179648,100,96,64,1,16,4,3,3,23265937,23.2659
GPU0,guided,1,18874368,1179648,100,96,64,1,16,4,3,3,23323207,23.3232
GPU3,guided,1,18874368,1179648,100,96,64,1,16,4,3,3,23338235,23.3382
GPU2,guided,1,18874368,1179648,100,96,64,1,16,4,3,3,23360406,23.3604
GPU5,guided,1,18874368,1179648,100,96,64,1,16,4,3,3,23381139,23.3811
GPU3,static,2,18874368,1179648,100,96,64,1,16,4,3,3,383778,0.3838
GPU0,static,2,18874368,1179648,100,96,64,1,16,4,3,3,384380,0.3844
GPU2,static,2,18874368,1179648,100,96,64,1,16,4,3,3,387765,0.3878
GPU1,static,2,18874368,1179648,100,96,64,1,16,4,3,3,388282,0.3883
GPU4,static,2,18874368,1179648,100,96,64,1,16,4,3,3,388522,0.3885
GPU5,static,2,18874368,1179648,100,96,64,1,16,4,3,3,389223,0.3892
GPU5,dynamic,2,18874368,1179648,100,96,64,1,16,4,3,3,383590,0.3836
GPU0,dynamic,2,18874368,1179648,100,96,64,1,16,4,3,3,388783,0.3888
GPU1,dynamic,2,18874368,1179648,100,96,64,1,16,4,3,3,390112,0.3901
GPU4,dynamic,2,18874368,1179648,100,96,64,1,16,4,3,3,390909,0.3909
GPU2,dynamic,2,18874368,1179648,100,96,64,1,16,4,3,3,391725,0.3917
GPU3,dynamic,2,18874368,1179648,100,96,64,1,16,4,3,3,392142,0.3921
GPU3,guided,2,18874368,1179648,100,96,64,1,16,4,3,3,388202,0.3882
GPU4,guided,2,18874368,1179648,100,96,64,1,16,4,3,3,388803,0.3888
