Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,1,1,96,4,3,3,63930,0.0639
GPU0,static,1,18432,1152,1000,1,1,1,96,4,3,3,21454140,21.4541
GPU3,static,1,18432,1152,1000,1,1,1,96,4,3,3,43063109,43.0631
GPU1,static,1,18432,1152,1000,1,1,1,96,4,3,3,43083032,43.0830
GPU4,static,1,18432,1152,1000,1,1,1,96,4,3,3,43089592,43.0896
GPU2,static,1,18432,1152,1000,1,1,1,96,4,3,3,43116987,43.1170
GPU5,static,1,18432,1152,1000,1,1,1,96,4,3,3,43120851,43.1209
GPU4,dynamic,1,18432,1152,1000,1,1,1,96,4,3,3,21451865,21.4519
GPU3,dynamic,1,18432,1152,1000,1,1,1,96,4,3,3,21452550,21.4525
GPU2,dynamic,1,18432,1152,1000,1,1,1,96,4,3,3,21454327,21.4543
GPU1,dynamic,1,18432,1152,1000,1,1,1,96,4,3,3,21455144,21.4551
GPU0,dynamic,1,18432,1152,1000,1,1,1,96,4,3,3,21486396,21.4864
GPU5,dynamic,1,18432,1152,1000,1,1,1,96,4,3,3,21495114,21.4951
GPU4,guided,1,18432,1152,1000,1,1,1,96,4,3,3,21452156,21.4522
GPU3,guided,1,18432,1152,1000,1,1,1,96,4,3,3,21452368,21.4524
GPU0,guided,1,18432,1152,1000,1,1,1,96,4,3,3,21453444,21.4534
GPU2,guided,1,18432,1152,1000,1,1,1,96,4,3,3,21454286,21.4543
GPU1,guided,1,18432,1152,1000,1,1,1,96,4,3,3,21456037,21.4560
GPU5,guided,1,18432,1152,1000,1,1,1,96,4,3,3,21502548,21.5025
GPU4,static,2,18432,1152,1000,1,1,1,96,4,3,3,21452210,21.4522
GPU3,static,2,18432,1152,1000,1,1,1,96,4,3,3,21452724,21.4527
GPU0,static,2,18432,1152,1000,1,1,1,96,4,3,3,21453942,21.4539
GPU2,static,2,18432,1152,1000,1,1,1,96,4,3,3,21454298,21.4543
GPU1,static,2,18432,1152,1000,1,1,1,96,4,3,3,21456392,21.4564
GPU5,static,2,18432,1152,1000,1,1,1,96,4,3,3,21505226,21.5052
GPU4,dynamic,2,18432,1152,1000,1,1,1,96,4,3,3,21451701,21.4517
GPU3,dynamic,2,18432,1152,1000,1,1,1,96,4,3,3,21452088,21.4521
GPU0,dynamic,2,18432,1152,1000,1,1,1,96,4,3,3,21453680,21.4537
GPU2,dynamic,2,18432,1152,1000,1,1,1,96,4,3,3,21454058,21.4541
GPU1,dynamic,2,18432,1152,1000,1,1,1,96,4,3,3,21457114,21.4571
GPU5,dynamic,2,18432,1152,1000,1,1,1,96,4,3,3,21506581,21.5066
GPU4,guided,2,18432,1152,1000,1,1,1,96,4,3,3,21451898,21.4519
GPU3,guided,2,18432,1152,1000,1,1,1,96,4,3,3,21452511,21.4525
GPU0,guided,2,18432,1152,1000,1,1,1,96,4,3,3,21453353,21.4534
GPU2,guided,2,18432,1152,1000,1,1,1,96,4,3,3,21453558,21.4536
GPU1,guided,2,18432,1152,1000,1,1,1,96,4,3,3,21457014,21.4570
GPU5,guided,2,18432,1152,1000,1,1,1,96,4,3,3,21502703,21.5027
GPU4,static,3,18432,1152,1000,1,1,1,96,4,3,3,21452096,21.4521
