Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,100,1,32,48,16,2,3,3,550287,0.5503
GPU0,static,1,2359296,294912,100,1,32,48,16,2,3,3,285815660,285.8157
GPU5,static,1,2359296,294912,100,1,32,48,16,2,3,3,570684079,570.6841
GPU2,static,1,2359296,294912,100,1,32,48,16,2,3,3,570686234,570.6862
GPU3,static,1,2359296,294912,100,1,32,48,16,2,3,3,570703793,570.7038
GPU4,static,1,2359296,294912,100,1,32,48,16,2,3,3,571058173,571.0582
GPU1,static,1,2359296,294912,100,1,32,48,16,2,3,3,571786317,571.7863
GPU5,dynamic,1,2359296,294912,100,1,32,48,16,2,3,3,284831490,284.8315
GPU2,dynamic,1,2359296,294912,100,1,32,48,16,2,3,3,284832450,284.8324
GPU3,dynamic,1,2359296,294912,100,1,32,48,16,2,3,3,284859483,284.8595
GPU4,dynamic,1,2359296,294912,100,1,32,48,16,2,3,3,285186680,285.1867
GPU0,dynamic,1,2359296,294912,100,1,32,48,16,2,3,3,285656545,285.6565
GPU1,dynamic,1,2359296,294912,100,1,32,48,16,2,3,3,285937758,285.9378
