Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,100,96,96,1,96,8,3,3,2810463,2.8105
GPU0,static,1,339738624,10616832,100,96,96,1,96,8,3,3,415428614,415.4286
GPU5,static,1,339738624,10616832,100,96,96,1,96,8,3,3,830893749,830.8937
GPU2,static,1,339738624,10616832,100,96,96,1,96,8,3,3,832237892,832.2379
GPU3,static,1,339738624,10616832,100,96,96,1,96,8,3,3,832272630,832.2726
GPU1,static,1,339738624,10616832,100,96,96,1,96,8,3,3,833119600,833.1196
GPU4,static,1,339738624,10616832,100,96,96,1,96,8,3,3,833441021,833.4410
GPU0,dynamic,1,339738624,10616832,100,96,96,1,96,8,3,3,415261503,415.2615
GPU2,dynamic,1,339738624,10616832,100,96,96,1,96,8,3,3,415561299,415.5613
GPU5,dynamic,1,339738624,10616832,100,96,96,1,96,8,3,3,416628363,416.6284
GPU1,dynamic,1,339738624,10616832,100,96,96,1,96,8,3,3,417548079,417.5481
GPU3,dynamic,1,339738624,10616832,100,96,96,1,96,8,3,3,418097376,418.0974
GPU4,dynamic,1,339738624,10616832,100,96,96,1,96,8,3,3,418327905,418.3279
GPU0,guided,1,339738624,10616832,100,96,96,1,96,8,3,3,415464631,415.4646
GPU2,guided,1,339738624,10616832,100,96,96,1,96,8,3,3,415806404,415.8064
GPU5,guided,1,339738624,10616832,100,96,96,1,96,8,3,3,416835370,416.8354
GPU1,guided,1,339738624,10616832,100,96,96,1,96,8,3,3,417328893,417.3289
GPU3,guided,1,339738624,10616832,100,96,96,1,96,8,3,3,417926712,417.9267
GPU4,guided,1,339738624,10616832,100,96,96,1,96,8,3,3,418087542,418.0875
GPU5,static,2,339738624,10616832,100,96,96,1,96,8,3,3,4431475,4.4315
GPU4,static,2,339738624,10616832,100,96,96,1,96,8,3,3,4458815,4.4588
GPU2,static,2,339738624,10616832,100,96,96,1,96,8,3,3,4458986,4.4590
GPU3,static,2,339738624,10616832,100,96,96,1,96,8,3,3,4475467,4.4755
GPU1,static,2,339738624,10616832,100,96,96,1,96,8,3,3,4487113,4.4871
GPU0,static,2,339738624,10616832,100,96,96,1,96,8,3,3,4495886,4.4959
GPU5,dynamic,2,339738624,10616832,100,96,96,1,96,8,3,3,4425630,4.4256
GPU2,dynamic,2,339738624,10616832,100,96,96,1,96,8,3,3,4438914,4.4389
GPU4,dynamic,2,339738624,10616832,100,96,96,1,96,8,3,3,4447875,4.4479
GPU0,dynamic,2,339738624,10616832,100,96,96,1,96,8,3,3,4448072,4.4481
GPU3,dynamic,2,339738624,10616832,100,96,96,1,96,8,3,3,4452423,4.4524
GPU1,dynamic,2,339738624,10616832,100,96,96,1,96,8,3,3,4458212,4.4582
GPU5,guided,2,339738624,10616832,100,96,96,1,96,8,3,3,4445821,4.4458
GPU0,guided,2,339738624,10616832,100,96,96,1,96,8,3,3,4446939,4.4469
GPU1,guided,2,339738624,10616832,100,96,96,1,96,8,3,3,4450466,4.4505
GPU4,guided,2,339738624,10616832,100,96,96,1,96,8,3,3,4451551,4.4516
GPU2,guided,2,339738624,10616832,100,96,96,1,96,8,3,3,4454200,4.4542
GPU3,guided,2,339738624,10616832,100,96,96,1,96,8,3,3,4455272,4.4553
GPU5,static,3,339738624,10616832,100,96,96,1,96,8,3,3,4420246,4.4202
GPU0,static,3,339738624,10616832,100,96,96,1,96,8,3,3,4448749,4.4487
GPU2,static,3,339738624,10616832,100,96,96,1,96,8,3,3,4464094,4.4641
GPU3,static,3,339738624,10616832,100,96,96,1,96,8,3,3,4470701,4.4707
GPU1,static,3,339738624,10616832,100,96,96,1,96,8,3,3,4471613,4.4716
GPU4,static,3,339738624,10616832,100,96,96,1,96,8,3,3,4471886,4.4719
GPU5,dynamic,3,339738624,10616832,100,96,96,1,96,8,3,3,4430592,4.4306
GPU2,dynamic,3,339738624,10616832,100,96,96,1,96,8,3,3,4439005,4.4390
GPU4,dynamic,3,339738624,10616832,100,96,96,1,96,8,3,3,4443494,4.4435
GPU0,dynamic,3,339738624,10616832,100,96,96,1,96,8,3,3,4447435,4.4474
GPU3,dynamic,3,339738624,10616832,100,96,96,1,96,8,3,3,4452851,4.4529
GPU1,dynamic,3,339738624,10616832,100,96,96,1,96,8,3,3,4455852,4.4559
GPU5,guided,3,339738624,10616832,100,96,96,1,96,8,3,3,4429770,4.4298
GPU0,guided,3,339738624,10616832,100,96,96,1,96,8,3,3,4447684,4.4477
GPU2,guided,3,339738624,10616832,100,96,96,1,96,8,3,3,4463410,4.4634
GPU1,guided,3,339738624,10616832,100,96,96,1,96,8,3,3,4464512,4.4645
GPU4,guided,3,339738624,10616832,100,96,96,1,96,8,3,3,4469382,4.4694
GPU3,guided,3,339738624,10616832,100,96,96,1,96,8,3,3,4472631,4.4726
GPU5,static,4,339738624,10616832,100,96,96,1,96,8,3,3,1784617,1.7846
GPU4,static,4,339738624,10616832,100,96,96,1,96,8,3,3,1796241,1.7962
GPU1,static,4,339738624,10616832,100,96,96,1,96,8,3,3,1797998,1.7980
GPU0,static,4,339738624,10616832,100,96,96,1,96,8,3,3,1799565,1.7996
GPU2,static,4,339738624,10616832,100,96,96,1,96,8,3,3,1808421,1.8084
GPU3,static,4,339738624,10616832,100,96,96,1,96,8,3,3,1854893,1.8549
GPU2,dynamic,4,339738624,10616832,100,96,96,1,96,8,3,3,1434959,1.4350
GPU0,dynamic,4,339738624,10616832,100,96,96,1,96,8,3,3,1458856,1.4589
GPU4,dynamic,4,339738624,10616832,100,96,96,1,96,8,3,3,1463281,1.4633
GPU3,dynamic,4,339738624,10616832,100,96,96,1,96,8,3,3,1465644,1.4656
GPU5,dynamic,4,339738624,10616832,100,96,96,1,96,8,3,3,1465833,1.4658
GPU1,dynamic,4,339738624,10616832,100,96,96,1,96,8,3,3,1467854,1.4679
GPU2,guided,4,339738624,10616832,100,96,96,1,96,8,3,3,1435685,1.4357
GPU5,guided,4,339738624,10616832,100,96,96,1,96,8,3,3,1443320,1.4433
GPU4,guided,4,339738624,10616832,100,96,96,1,96,8,3,3,1453213,1.4532
GPU0,guided,4,339738624,10616832,100,96,96,1,96,8,3,3,1459707,1.4597
GPU3,guided,4,339738624,10616832,100,96,96,1,96,8,3,3,1463608,1.4636
GPU1,guided,4,339738624,10616832,100,96,96,1,96,8,3,3,1464685,1.4647
