Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,10,1,32,96,64,4,3,3,809398,0.8094
GPU0,static,1,37748736,2359296,10,1,32,96,64,4,3,3,439918864,439.9189
GPU3,static,1,37748736,2359296,10,1,32,96,64,4,3,3,879628270,879.6283
GPU2,static,1,37748736,2359296,10,1,32,96,64,4,3,3,879721907,879.7219
GPU1,static,1,37748736,2359296,10,1,32,96,64,4,3,3,879756603,879.7566
GPU5,static,1,37748736,2359296,10,1,32,96,64,4,3,3,879811510,879.8115
GPU4,static,1,37748736,2359296,10,1,32,96,64,4,3,3,881250286,881.2503
GPU3,dynamic,1,37748736,2359296,10,1,32,96,64,4,3,3,439666280,439.6663
GPU2,dynamic,1,37748736,2359296,10,1,32,96,64,4,3,3,439756937,439.7569
GPU1,dynamic,1,37748736,2359296,10,1,32,96,64,4,3,3,439784287,439.7843
GPU0,dynamic,1,37748736,2359296,10,1,32,96,64,4,3,3,439824417,439.8244
GPU5,dynamic,1,37748736,2359296,10,1,32,96,64,4,3,3,439929893,439.9299
GPU4,dynamic,1,37748736,2359296,10,1,32,96,64,4,3,3,441236466,441.2365
GPU3,guided,1,37748736,2359296,10,1,32,96,64,4,3,3,439669972,439.6700
GPU2,guided,1,37748736,2359296,10,1,32,96,64,4,3,3,439771080,439.7711
GPU1,guided,1,37748736,2359296,10,1,32,96,64,4,3,3,439785994,439.7860
GPU0,guided,1,37748736,2359296,10,1,32,96,64,4,3,3,439791956,439.7920
GPU5,guided,1,37748736,2359296,10,1,32,96,64,4,3,3,439888050,439.8881
GPU4,guided,1,37748736,2359296,10,1,32,96,64,4,3,3,441119596,441.1196
GPU3,static,2,37748736,2359296,10,1,32,96,64,4,3,3,13875878,13.8759
GPU0,static,2,37748736,2359296,10,1,32,96,64,4,3,3,13876699,13.8767
GPU2,static,2,37748736,2359296,10,1,32,96,64,4,3,3,13878408,13.8784
GPU1,static,2,37748736,2359296,10,1,32,96,64,4,3,3,13886145,13.8861
GPU5,static,2,37748736,2359296,10,1,32,96,64,4,3,3,13889049,13.8890
GPU4,static,2,37748736,2359296,10,1,32,96,64,4,3,3,13932315,13.9323
GPU3,dynamic,2,37748736,2359296,10,1,32,96,64,4,3,3,13867029,13.8670
GPU1,dynamic,2,37748736,2359296,10,1,32,96,64,4,3,3,13870293,13.8703
GPU2,dynamic,2,37748736,2359296,10,1,32,96,64,4,3,3,13876440,13.8764
GPU0,dynamic,2,37748736,2359296,10,1,32,96,64,4,3,3,13878142,13.8781
GPU5,dynamic,2,37748736,2359296,10,1,32,96,64,4,3,3,13883655,13.8837
GPU4,dynamic,2,37748736,2359296,10,1,32,96,64,4,3,3,13920144,13.9201
GPU3,guided,2,37748736,2359296,10,1,32,96,64,4,3,3,13867998,13.8680
GPU0,guided,2,37748736,2359296,10,1,32,96,64,4,3,3,13871668,13.8717
GPU2,guided,2,37748736,2359296,10,1,32,96,64,4,3,3,13876650,13.8766
GPU1,guided,2,37748736,2359296,10,1,32,96,64,4,3,3,13878513,13.8785
GPU5,guided,2,37748736,2359296,10,1,32,96,64,4,3,3,13880623,13.8806
GPU4,guided,2,37748736,2359296,10,1,32,96,64,4,3,3,13923609,13.9236
GPU2,static,3,37748736,2359296,10,1,32,96,64,4,3,3,161673,0.1617
GPU3,static,3,37748736,2359296,10,1,32,96,64,4,3,3,161829,0.1618
GPU1,static,3,37748736,2359296,10,1,32,96,64,4,3,3,163296,0.1633
GPU0,static,3,37748736,2359296,10,1,32,96,64,4,3,3,165467,0.1655
GPU4,static,3,37748736,2359296,10,1,32,96,64,4,3,3,165628,0.1656
GPU5,static,3,37748736,2359296,10,1,32,96,64,4,3,3,165720,0.1657
GPU3,dynamic,3,37748736,2359296,10,1,32,96,64,4,3,3,160263,0.1603
GPU1,dynamic,3,37748736,2359296,10,1,32,96,64,4,3,3,166481,0.1665
GPU2,dynamic,3,37748736,2359296,10,1,32,96,64,4,3,3,167228,0.1672
GPU0,dynamic,3,37748736,2359296,10,1,32,96,64,4,3,3,167407,0.1674
GPU5,dynamic,3,37748736,2359296,10,1,32,96,64,4,3,3,167671,0.1677
GPU4,dynamic,3,37748736,2359296,10,1,32,96,64,4,3,3,167763,0.1678
GPU5,guided,3,37748736,2359296,10,1,32,96,64,4,3,3,162095,0.1621
GPU3,guided,3,37748736,2359296,10,1,32,96,64,4,3,3,162934,0.1629
GPU2,guided,3,37748736,2359296,10,1,32,96,64,4,3,3,163559,0.1636
GPU1,guided,3,37748736,2359296,10,1,32,96,64,4,3,3,165276,0.1653
GPU4,guided,3,37748736,2359296,10,1,32,96,64,4,3,3,165603,0.1656
GPU0,guided,3,37748736,2359296,10,1,32,96,64,4,3,3,166030,0.1660
GPU2,static,4,37748736,2359296,10,1,32,96,64,4,3,3,30482,0.0305
GPU3,static,4,37748736,2359296,10,1,32,96,64,4,3,3,31598,0.0316
GPU0,static,4,37748736,2359296,10,1,32,96,64,4,3,3,33729,0.0337
GPU4,static,4,37748736,2359296,10,1,32,96,64,4,3,3,35930,0.0359
GPU5,static,4,37748736,2359296,10,1,32,96,64,4,3,3,36100,0.0361
GPU1,static,4,37748736,2359296,10,1,32,96,64,4,3,3,36194,0.0362
GPU5,dynamic,4,37748736,2359296,10,1,32,96,64,4,3,3,29827,0.0298
GPU3,dynamic,4,37748736,2359296,10,1,32,96,64,4,3,3,29997,0.0300
GPU2,dynamic,4,37748736,2359296,10,1,32,96,64,4,3,3,31541,0.0315
GPU4,dynamic,4,37748736,2359296,10,1,32,96,64,4,3,3,32904,0.0329
GPU1,dynamic,4,37748736,2359296,10,1,32,96,64,4,3,3,33316,0.0333
GPU0,dynamic,4,37748736,2359296,10,1,32,96,64,4,3,3,33479,0.0335
GPU5,guided,4,37748736,2359296,10,1,32,96,64,4,3,3,28544,0.0285
GPU2,guided,4,37748736,2359296,10,1,32,96,64,4,3,3,30203,0.0302
GPU0,guided,4,37748736,2359296,10,1,32,96,64,4,3,3,31335,0.0313
GPU3,guided,4,37748736,2359296,10,1,32,96,64,4,3,3,32840,0.0328
GPU1,guided,4,37748736,2359296,10,1,32,96,64,4,3,3,33165,0.0332
GPU4,guided,4,37748736,2359296,10,1,32,96,64,4,3,3,33258,0.0333
