Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,100,1,1,32,64,2,3,3,71479,0.0715
GPU0,static,1,196608,24576,100,1,1,32,64,2,3,3,23992226,23.9922
GPU3,static,1,196608,24576,100,1,1,32,64,2,3,3,47750378,47.7504
GPU5,static,1,196608,24576,100,1,1,32,64,2,3,3,47754233,47.7542
GPU1,static,1,196608,24576,100,1,1,32,64,2,3,3,47766030,47.7660
GPU2,static,1,196608,24576,100,1,1,32,64,2,3,3,47785813,47.7858
GPU4,static,1,196608,24576,100,1,1,32,64,2,3,3,47850412,47.8504
GPU3,dynamic,1,196608,24576,100,1,1,32,64,2,3,3,23739582,23.7396
GPU5,dynamic,1,196608,24576,100,1,1,32,64,2,3,3,23742473,23.7425
GPU2,dynamic,1,196608,24576,100,1,1,32,64,2,3,3,23750285,23.7503
GPU1,dynamic,1,196608,24576,100,1,1,32,64,2,3,3,23774320,23.7743
GPU4,dynamic,1,196608,24576,100,1,1,32,64,2,3,3,23837899,23.8379
GPU0,dynamic,1,196608,24576,100,1,1,32,64,2,3,3,23877504,23.8775
GPU3,guided,1,196608,24576,100,1,1,32,64,2,3,3,23738381,23.7384
GPU5,guided,1,196608,24576,100,1,1,32,64,2,3,3,23742238,23.7422
GPU2,guided,1,196608,24576,100,1,1,32,64,2,3,3,23753671,23.7537
GPU1,guided,1,196608,24576,100,1,1,32,64,2,3,3,23776782,23.7768
GPU4,guided,1,196608,24576,100,1,1,32,64,2,3,3,23838221,23.8382
GPU0,guided,1,196608,24576,100,1,1,32,64,2,3,3,23849881,23.8499
GPU3,static,2,196608,24576,100,1,1,32,64,2,3,3,23738752,23.7388
GPU5,static,2,196608,24576,100,1,1,32,64,2,3,3,23742401,23.7424
GPU2,static,2,196608,24576,100,1,1,32,64,2,3,3,23753749,23.7537
GPU1,static,2,196608,24576,100,1,1,32,64,2,3,3,23778674,23.7787
GPU4,static,2,196608,24576,100,1,1,32,64,2,3,3,23838898,23.8389
GPU0,static,2,196608,24576,100,1,1,32,64,2,3,3,23847074,23.8471
GPU3,dynamic,2,196608,24576,100,1,1,32,64,2,3,3,23737747,23.7377
GPU5,dynamic,2,196608,24576,100,1,1,32,64,2,3,3,23741283,23.7413
GPU2,dynamic,2,196608,24576,100,1,1,32,64,2,3,3,23753894,23.7539
GPU1,dynamic,2,196608,24576,100,1,1,32,64,2,3,3,23776354,23.7764
GPU4,dynamic,2,196608,24576,100,1,1,32,64,2,3,3,23838991,23.8390
GPU0,dynamic,2,196608,24576,100,1,1,32,64,2,3,3,23844536,23.8445
GPU3,guided,2,196608,24576,100,1,1,32,64,2,3,3,23737681,23.7377
GPU5,guided,2,196608,24576,100,1,1,32,64,2,3,3,23742063,23.7421
GPU2,guided,2,196608,24576,100,1,1,32,64,2,3,3,23750277,23.7503
GPU1,guided,2,196608,24576,100,1,1,32,64,2,3,3,23773724,23.7737
GPU4,guided,2,196608,24576,100,1,1,32,64,2,3,3,23839010,23.8390
GPU0,guided,2,196608,24576,100,1,1,32,64,2,3,3,23847335,23.8473
GPU2,static,3,196608,24576,100,1,1,32,64,2,3,3,750002,0.7500
GPU5,static,3,196608,24576,100,1,1,32,64,2,3,3,750344,0.7503
GPU3,static,3,196608,24576,100,1,1,32,64,2,3,3,750698,0.7507
GPU1,static,3,196608,24576,100,1,1,32,64,2,3,3,751255,0.7513
GPU0,static,3,196608,24576,100,1,1,32,64,2,3,3,752897,0.7529
GPU4,static,3,196608,24576,100,1,1,32,64,2,3,3,753596,0.7536
GPU3,dynamic,3,196608,24576,100,1,1,32,64,2,3,3,750072,0.7501
GPU5,dynamic,3,196608,24576,100,1,1,32,64,2,3,3,750808,0.7508
GPU1,dynamic,3,196608,24576,100,1,1,32,64,2,3,3,751026,0.7510
GPU2,dynamic,3,196608,24576,100,1,1,32,64,2,3,3,751271,0.7513
GPU0,dynamic,3,196608,24576,100,1,1,32,64,2,3,3,753911,0.7539
GPU4,dynamic,3,196608,24576,100,1,1,32,64,2,3,3,754193,0.7542
