Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,100,64,96,1,16,2,3,3,124455,0.1245
GPU0,static,1,9437184,1179648,100,64,96,1,16,2,3,3,18286678,18.2867
GPU3,static,1,9437184,1179648,100,64,96,1,16,2,3,3,36330899,36.3309
GPU5,static,1,9437184,1179648,100,64,96,1,16,2,3,3,36366893,36.3669
GPU4,static,1,9437184,1179648,100,64,96,1,16,2,3,3,36404907,36.4049
GPU1,static,1,9437184,1179648,100,64,96,1,16,2,3,3,36448022,36.4480
GPU2,static,1,9437184,1179648,100,64,96,1,16,2,3,3,36460797,36.4608
GPU3,dynamic,1,9437184,1179648,100,64,96,1,16,2,3,3,18024392,18.0244
GPU5,dynamic,1,9437184,1179648,100,64,96,1,16,2,3,3,18065454,18.0655
GPU0,dynamic,1,9437184,1179648,100,64,96,1,16,2,3,3,18093096,18.0931
GPU1,dynamic,1,9437184,1179648,100,64,96,1,16,2,3,3,18100620,18.1006
GPU4,dynamic,1,9437184,1179648,100,64,96,1,16,2,3,3,18102555,18.1026
GPU2,dynamic,1,9437184,1179648,100,64,96,1,16,2,3,3,18139461,18.1395
GPU3,guided,1,9437184,1179648,100,64,96,1,16,2,3,3,18034748,18.0347
GPU5,guided,1,9437184,1179648,100,64,96,1,16,2,3,3,18069803,18.0698
GPU0,guided,1,9437184,1179648,100,64,96,1,16,2,3,3,18090576,18.0906
GPU4,guided,1,9437184,1179648,100,64,96,1,16,2,3,3,18091622,18.0916
GPU1,guided,1,9437184,1179648,100,64,96,1,16,2,3,3,18092072,18.0921
GPU2,guided,1,9437184,1179648,100,64,96,1,16,2,3,3,18138785,18.1388
GPU3,static,2,9437184,1179648,100,64,96,1,16,2,3,3,201815,0.2018
GPU5,static,2,9437184,1179648,100,64,96,1,16,2,3,3,203573,0.2036
GPU2,static,2,9437184,1179648,100,64,96,1,16,2,3,3,204293,0.2043
GPU4,static,2,9437184,1179648,100,64,96,1,16,2,3,3,204680,0.2047
GPU0,static,2,9437184,1179648,100,64,96,1,16,2,3,3,204935,0.2049
GPU1,static,2,9437184,1179648,100,64,96,1,16,2,3,3,205168,0.2052
GPU2,dynamic,2,9437184,1179648,100,64,96,1,16,2,3,3,200788,0.2008
GPU0,dynamic,2,9437184,1179648,100,64,96,1,16,2,3,3,203074,0.2031
GPU1,dynamic,2,9437184,1179648,100,64,96,1,16,2,3,3,204529,0.2045
GPU5,dynamic,2,9437184,1179648,100,64,96,1,16,2,3,3,204701,0.2047
GPU4,dynamic,2,9437184,1179648,100,64,96,1,16,2,3,3,204871,0.2049
GPU3,dynamic,2,9437184,1179648,100,64,96,1,16,2,3,3,204969,0.2050
GPU3,guided,2,9437184,1179648,100,64,96,1,16,2,3,3,200585,0.2006
GPU2,guided,2,9437184,1179648,100,64,96,1,16,2,3,3,202499,0.2025
GPU0,guided,2,9437184,1179648,100,64,96,1,16,2,3,3,202759,0.2028
GPU5,guided,2,9437184,1179648,100,64,96,1,16,2,3,3,204098,0.2041
GPU1,guided,2,9437184,1179648,100,64,96,1,16,2,3,3,204419,0.2044
GPU4,guided,2,9437184,1179648,100,64,96,1,16,2,3,3,204497,0.2045
GPU3,static,3,9437184,1179648,100,64,96,1,16,2,3,3,202706,0.2027
GPU5,static,3,9437184,1179648,100,64,96,1,16,2,3,3,203769,0.2038
GPU1,static,3,9437184,1179648,100,64,96,1,16,2,3,3,204294,0.2043
GPU2,static,3,9437184,1179648,100,64,96,1,16,2,3,3,204493,0.2045
GPU0,static,3,9437184,1179648,100,64,96,1,16,2,3,3,204814,0.2048
GPU4,static,3,9437184,1179648,100,64,96,1,16,2,3,3,204896,0.2049
GPU2,dynamic,3,9437184,1179648,100,64,96,1,16,2,3,3,200937,0.2009
GPU3,dynamic,3,9437184,1179648,100,64,96,1,16,2,3,3,202193,0.2022
GPU5,dynamic,3,9437184,1179648,100,64,96,1,16,2,3,3,202959,0.2030
GPU4,dynamic,3,9437184,1179648,100,64,96,1,16,2,3,3,204171,0.2042
GPU0,dynamic,3,9437184,1179648,100,64,96,1,16,2,3,3,204271,0.2043
GPU1,dynamic,3,9437184,1179648,100,64,96,1,16,2,3,3,204440,0.2044
GPU0,guided,3,9437184,1179648,100,64,96,1,16,2,3,3,202782,0.2028
GPU3,guided,3,9437184,1179648,100,64,96,1,16,2,3,3,203450,0.2034
GPU5,guided,3,9437184,1179648,100,64,96,1,16,2,3,3,203980,0.2040
GPU4,guided,3,9437184,1179648,100,64,96,1,16,2,3,3,204949,0.2049
GPU1,guided,3,9437184,1179648,100,64,96,1,16,2,3,3,205123,0.2051
GPU2,guided,3,9437184,1179648,100,64,96,1,16,2,3,3,205215,0.2052
GPU0,static,4,9437184,1179648,100,64,96,1,16,2,3,3,39709,0.0397
GPU4,static,4,9437184,1179648,100,64,96,1,16,2,3,3,42484,0.0425
GPU2,static,4,9437184,1179648,100,64,96,1,16,2,3,3,42992,0.0430
GPU5,static,4,9437184,1179648,100,64,96,1,16,2,3,3,43168,0.0432
GPU1,static,4,9437184,1179648,100,64,96,1,16,2,3,3,43483,0.0435
GPU3,static,4,9437184,1179648,100,64,96,1,16,2,3,3,43564,0.0436
GPU2,dynamic,4,9437184,1179648,100,64,96,1,16,2,3,3,47605,0.0476
GPU1,dynamic,4,9437184,1179648,100,64,96,1,16,2,3,3,50305,0.0503
GPU4,dynamic,4,9437184,1179648,100,64,96,1,16,2,3,3,50920,0.0509
GPU0,dynamic,4,9437184,1179648,100,64,96,1,16,2,3,3,51089,0.0511
GPU3,dynamic,4,9437184,1179648,100,64,96,1,16,2,3,3,51344,0.0513
GPU5,dynamic,4,9437184,1179648,100,64,96,1,16,2,3,3,51425,0.0514
GPU3,guided,4,9437184,1179648,100,64,96,1,16,2,3,3,47413,0.0474
GPU1,guided,4,9437184,1179648,100,64,96,1,16,2,3,3,50177,0.0502
GPU2,guided,4,9437184,1179648,100,64,96,1,16,2,3,3,50729,0.0507
GPU0,guided,4,9437184,1179648,100,64,96,1,16,2,3,3,50900,0.0509
GPU5,guided,4,9437184,1179648,100,64,96,1,16,2,3,3,51145,0.0511
GPU4,guided,4,9437184,1179648,100,64,96,1,16,2,3,3,51229,0.0512
