Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,10,80,96,16,80,8,3,3,2856331,2.8563
GPU0,static,1,3774873600,117964800,10,80,96,16,80,8,3,3,551046966,551.0470
GPU3,static,1,3774873600,117964800,10,80,96,16,80,8,3,3,1101157252,1101.1573
GPU2,static,1,3774873600,117964800,10,80,96,16,80,8,3,3,1101325577,1101.3256
GPU5,static,1,3774873600,117964800,10,80,96,16,80,8,3,3,1101738977,1101.7390
GPU1,static,1,3774873600,117964800,10,80,96,16,80,8,3,3,1103588852,1103.5889
GPU4,static,1,3774873600,117964800,10,80,96,16,80,8,3,3,1105103809,1105.1038
GPU0,dynamic,1,3774873600,117964800,10,80,96,16,80,8,3,3,550454993,550.4550
GPU3,dynamic,1,3774873600,117964800,10,80,96,16,80,8,3,3,550699395,550.6994
GPU2,dynamic,1,3774873600,117964800,10,80,96,16,80,8,3,3,550884740,550.8847
GPU5,dynamic,1,3774873600,117964800,10,80,96,16,80,8,3,3,551175389,551.1754
GPU1,dynamic,1,3774873600,117964800,10,80,96,16,80,8,3,3,552750152,552.7502
GPU4,dynamic,1,3774873600,117964800,10,80,96,16,80,8,3,3,553985078,553.9851
GPU0,guided,1,3774873600,117964800,10,80,96,16,80,8,3,3,550086513,550.0865
GPU2,guided,1,3774873600,117964800,10,80,96,16,80,8,3,3,550782581,550.7826
GPU5,guided,1,3774873600,117964800,10,80,96,16,80,8,3,3,551164779,551.1648
GPU3,guided,1,3774873600,117964800,10,80,96,16,80,8,3,3,551244948,551.2449
GPU1,guided,1,3774873600,117964800,10,80,96,16,80,8,3,3,552700529,552.7005
GPU4,guided,1,3774873600,117964800,10,80,96,16,80,8,3,3,553833458,553.8335
GPU3,static,2,3774873600,117964800,10,80,96,16,80,8,3,3,6716668,6.7167
GPU2,static,2,3774873600,117964800,10,80,96,16,80,8,3,3,6732886,6.7329
GPU4,static,2,3774873600,117964800,10,80,96,16,80,8,3,3,6742114,6.7421
GPU1,static,2,3774873600,117964800,10,80,96,16,80,8,3,3,6756980,6.7570
GPU5,static,2,3774873600,117964800,10,80,96,16,80,8,3,3,6764635,6.7646
GPU0,static,2,3774873600,117964800,10,80,96,16,80,8,3,3,6777054,6.7771
GPU3,dynamic,2,3774873600,117964800,10,80,96,16,80,8,3,3,6594646,6.5946
GPU2,dynamic,2,3774873600,117964800,10,80,96,16,80,8,3,3,6622594,6.6226
GPU1,dynamic,2,3774873600,117964800,10,80,96,16,80,8,3,3,6723625,6.7236
GPU5,dynamic,2,3774873600,117964800,10,80,96,16,80,8,3,3,6724091,6.7241
GPU0,dynamic,2,3774873600,117964800,10,80,96,16,80,8,3,3,6738748,6.7387
GPU4,dynamic,2,3774873600,117964800,10,80,96,16,80,8,3,3,6739193,6.7392
GPU2,guided,2,3774873600,117964800,10,80,96,16,80,8,3,3,6624162,6.6242
GPU3,guided,2,3774873600,117964800,10,80,96,16,80,8,3,3,6631706,6.6317
GPU4,guided,2,3774873600,117964800,10,80,96,16,80,8,3,3,6670317,6.6703
GPU1,guided,2,3774873600,117964800,10,80,96,16,80,8,3,3,6716429,6.7164
GPU0,guided,2,3774873600,117964800,10,80,96,16,80,8,3,3,6731095,6.7311
GPU5,guided,2,3774873600,117964800,10,80,96,16,80,8,3,3,6731542,6.7315
GPU5,static,3,3774873600,117964800,10,80,96,16,80,8,3,3,5016787,5.0168
GPU1,static,3,3774873600,117964800,10,80,96,16,80,8,3,3,5117249,5.1172
GPU0,static,3,3774873600,117964800,10,80,96,16,80,8,3,3,5127526,5.1275
GPU3,static,3,3774873600,117964800,10,80,96,16,80,8,3,3,5135052,5.1351
GPU4,static,3,3774873600,117964800,10,80,96,16,80,8,3,3,5164023,5.1640
GPU2,static,3,3774873600,117964800,10,80,96,16,80,8,3,3,5171573,5.1716
GPU2,dynamic,3,3774873600,117964800,10,80,96,16,80,8,3,3,3761422,3.7614
GPU3,dynamic,3,3774873600,117964800,10,80,96,16,80,8,3,3,3851764,3.8518
GPU5,dynamic,3,3774873600,117964800,10,80,96,16,80,8,3,3,3958092,3.9581
GPU0,dynamic,3,3774873600,117964800,10,80,96,16,80,8,3,3,3979788,3.9798
GPU1,dynamic,3,3774873600,117964800,10,80,96,16,80,8,3,3,3980245,3.9802
GPU4,dynamic,3,3774873600,117964800,10,80,96,16,80,8,3,3,3980615,3.9806
GPU0,guided,3,3774873600,117964800,10,80,96,16,80,8,3,3,3858853,3.8589
GPU2,guided,3,3774873600,117964800,10,80,96,16,80,8,3,3,3866382,3.8664
GPU3,guided,3,3774873600,117964800,10,80,96,16,80,8,3,3,3885471,3.8855
GPU5,guided,3,3774873600,117964800,10,80,96,16,80,8,3,3,3974638,3.9746
GPU1,guided,3,3774873600,117964800,10,80,96,16,80,8,3,3,3984912,3.9849
GPU4,guided,3,3774873600,117964800,10,80,96,16,80,8,3,3,3992499,3.9925
GPU3,static,4,3774873600,117964800,10,80,96,16,80,8,3,3,2678528,2.6785
GPU2,static,4,3774873600,117964800,10,80,96,16,80,8,3,3,2686418,2.6864
GPU4,static,4,3774873600,117964800,10,80,96,16,80,8,3,3,2686992,2.6870
GPU1,static,4,3774873600,117964800,10,80,96,16,80,8,3,3,2731892,2.7319
GPU5,static,4,3774873600,117964800,10,80,96,16,80,8,3,3,2757928,2.7579
GPU0,static,4,3774873600,117964800,10,80,96,16,80,8,3,3,2758566,2.7586
GPU3,dynamic,4,3774873600,117964800,10,80,96,16,80,8,3,3,2220728,2.2207
GPU0,dynamic,4,3774873600,117964800,10,80,96,16,80,8,3,3,2242462,2.2425
GPU2,dynamic,4,3774873600,117964800,10,80,96,16,80,8,3,3,2399671,2.3997
GPU1,dynamic,4,3774873600,117964800,10,80,96,16,80,8,3,3,2400120,2.4001
GPU5,dynamic,4,3774873600,117964800,10,80,96,16,80,8,3,3,2442410,2.4424
GPU4,dynamic,4,3774873600,117964800,10,80,96,16,80,8,3,3,2442856,2.4429
GPU3,guided,4,3774873600,117964800,10,80,96,16,80,8,3,3,2286091,2.2861
GPU2,guided,4,3774873600,117964800,10,80,96,16,80,8,3,3,2289011,2.2890
GPU4,guided,4,3774873600,117964800,10,80,96,16,80,8,3,3,2296889,2.2969
GPU5,guided,4,3774873600,117964800,10,80,96,16,80,8,3,3,2350234,2.3502
GPU1,guided,4,3774873600,117964800,10,80,96,16,80,8,3,3,2367331,2.3673
GPU0,guided,4,3774873600,117964800,10,80,96,16,80,8,3,3,2367779,2.3678
