Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,10,1,32,80,32,4,3,3,350030,0.3500
GPU0,static,1,15728640,983040,10,1,32,80,32,4,3,3,183364099,183.3641
GPU3,static,1,15728640,983040,10,1,32,80,32,4,3,3,366583704,366.5837
GPU1,static,1,15728640,983040,10,1,32,80,32,4,3,3,366781078,366.7811
GPU2,static,1,15728640,983040,10,1,32,80,32,4,3,3,367193887,367.1939
GPU4,static,1,15728640,983040,10,1,32,80,32,4,3,3,367408916,367.4089
GPU5,static,1,15728640,983040,10,1,32,80,32,4,3,3,367569339,367.5693
GPU3,dynamic,1,15728640,983040,10,1,32,80,32,4,3,3,183199113,183.1991
GPU0,dynamic,1,15728640,983040,10,1,32,80,32,4,3,3,183227996,183.2280
GPU1,dynamic,1,15728640,983040,10,1,32,80,32,4,3,3,183327632,183.3276
GPU2,dynamic,1,15728640,983040,10,1,32,80,32,4,3,3,183814303,183.8143
GPU4,dynamic,1,15728640,983040,10,1,32,80,32,4,3,3,183980771,183.9808
GPU5,dynamic,1,15728640,983040,10,1,32,80,32,4,3,3,184195382,184.1954
GPU0,guided,1,15728640,983040,10,1,32,80,32,4,3,3,183196505,183.1965
GPU3,guided,1,15728640,983040,10,1,32,80,32,4,3,3,183198686,183.1987
GPU1,guided,1,15728640,983040,10,1,32,80,32,4,3,3,183333106,183.3331
GPU2,guided,1,15728640,983040,10,1,32,80,32,4,3,3,183830941,183.8309
GPU4,guided,1,15728640,983040,10,1,32,80,32,4,3,3,183967403,183.9674
GPU5,guided,1,15728640,983040,10,1,32,80,32,4,3,3,184173639,184.1736
GPU0,static,2,15728640,983040,10,1,32,80,32,4,3,3,5783572,5.7836
GPU3,static,2,15728640,983040,10,1,32,80,32,4,3,3,5785765,5.7858
GPU1,static,2,15728640,983040,10,1,32,80,32,4,3,3,5788733,5.7887
GPU2,static,2,15728640,983040,10,1,32,80,32,4,3,3,5804444,5.8044
GPU4,static,2,15728640,983040,10,1,32,80,32,4,3,3,5807792,5.8078
GPU5,static,2,15728640,983040,10,1,32,80,32,4,3,3,5815613,5.8156
GPU3,dynamic,2,15728640,983040,10,1,32,80,32,4,3,3,5783122,5.7831
GPU0,dynamic,2,15728640,983040,10,1,32,80,32,4,3,3,5783273,5.7833
GPU1,dynamic,2,15728640,983040,10,1,32,80,32,4,3,3,5785688,5.7857
GPU2,dynamic,2,15728640,983040,10,1,32,80,32,4,3,3,5800247,5.8002
GPU4,dynamic,2,15728640,983040,10,1,32,80,32,4,3,3,5805203,5.8052
GPU5,dynamic,2,15728640,983040,10,1,32,80,32,4,3,3,5813941,5.8139
GPU0,guided,2,15728640,983040,10,1,32,80,32,4,3,3,5781727,5.7817
GPU3,guided,2,15728640,983040,10,1,32,80,32,4,3,3,5782452,5.7825
GPU1,guided,2,15728640,983040,10,1,32,80,32,4,3,3,5785686,5.7857
GPU2,guided,2,15728640,983040,10,1,32,80,32,4,3,3,5799850,5.7999
GPU4,guided,2,15728640,983040,10,1,32,80,32,4,3,3,5804504,5.8045
GPU5,guided,2,15728640,983040,10,1,32,80,32,4,3,3,5813274,5.8133
GPU3,static,3,15728640,983040,10,1,32,80,32,4,3,3,86432,0.0864
GPU5,static,3,15728640,983040,10,1,32,80,32,4,3,3,86882,0.0869
GPU2,static,3,15728640,983040,10,1,32,80,32,4,3,3,87174,0.0872
GPU1,static,3,15728640,983040,10,1,32,80,32,4,3,3,87693,0.0877
